institution_name,normalized_institution_name,registration_number,regulator,accreditation_status,ownership_type,institution_type,region,district_or_council,physical_location,mainland_or_zanzibar,website,phone_numbers,email,application_method,official_source_url,source_type,confidence_level,last_verified_date,notes
Chuo cha Maendeleo ya Wananchi Kilwa Masoko,chuo cha maendeleo ya wananchi kilwa masoko,,Ministry,,public,community development/social work college,,,,Mainland,,,,unknown,https://www.moe.go.tz/sw/vyuo/chuo-cha-ualimu-bunda,regulator,medium,2026-04-24,Listed on ministry page under public colleges. Programme details require institution-level verification.
Chuo cha Maendeleo ya Wananchi Kiwanda,chuo cha maendeleo ya wananchi kiwanda,,Ministry,,public,community development/social work college,,,,Mainland,,,,unknown,https://www.moe.go.tz/sw/vyuo/chuo-cha-ualimu-bunda,regulator,medium,2026-04-24,Listed on ministry page under public colleges. Programme details require institution-level verification.
Chuo cha Maendeleo ya Wananchi Mhukuru,chuo cha maendeleo ya wananchi mhukuru,,Ministry,,public,community development/social work college,,,,Mainland,,,,unknown,https://www.moe.go.tz/sw/vyuo/chuo-cha-ualimu-bunda,regulator,medium,2026-04-24,Listed on ministry page under public colleges. Programme details require institution-level verification.
Chuo cha Maendeleo ya Wananchi Mtawanya,chuo cha maendeleo ya wananchi mtawanya,,Ministry,,public,community development/social work college,,,,Mainland,,,,unknown,https://www.moe.go.tz/sw/vyuo/chuo-cha-ualimu-bunda,regulator,medium,2026-04-24,Listed on ministry page under public colleges. Programme details require institution-level verification.
Chuo cha Maendeleo ya Wananchi Mto wa Mbu,chuo cha maendeleo ya wananchi mto wa mbu,,Ministry,,public,community development/social work college,,,,Mainland,,,,unknown,https://www.moe.go.tz/sw/vyuo/chuo-cha-ualimu-bunda,regulator,medium,2026-04-24,Listed on ministry page under public colleges. Programme details require institution-level verification.
Chuo cha Maendeleo ya Wananchi Munguri,chuo cha maendeleo ya wananchi munguri,,Ministry,,public,community development/social work college,,,,Mainland,,,,unknown,https://www.moe.go.tz/sw/vyuo/chuo-cha-ualimu-bunda,regulator,medium,2026-04-24,Listed on ministry page under public colleges. Programme details require institution-level verification.
Chuo cha Maendeleo ya Wananchi Newala,chuo cha maendeleo ya wananchi newala,,Ministry,,public,community development/social work college,,,,Mainland,,,,unknown,https://www.moe.go.tz/sw/vyuo/chuo-cha-ualimu-bunda,regulator,medium,2026-04-24,Listed on ministry page under public colleges. Programme details require institution-level verification.
Chuo cha Maendeleo ya Wananchi Rubondo,chuo cha maendeleo ya wananchi rubondo,,Ministry,,public,community development/social work college,,,,Mainland,,,,unknown,https://www.moe.go.tz/sw/vyuo/chuo-cha-ualimu-bunda,regulator,medium,2026-04-24,Listed on ministry page under public colleges. Programme details require institution-level verification.
Chuo cha Maendeleo ya Wananchi Sofi,chuo cha maendeleo ya wananchi sofi,,Ministry,,public,community development/social work college,,,,Mainland,,,,unknown,https://www.moe.go.tz/sw/vyuo/chuo-cha-ualimu-bunda,regulator,medium,2026-04-24,Listed on ministry page under public colleges. Programme details require institution-level verification.
Chuo cha Maendeleo ya Wananchi Tarime,chuo cha maendeleo ya wananchi tarime,,Ministry,,public,community development/social work college,,,,Mainland,,,,unknown,https://www.moe.go.tz/sw/vyuo/chuo-cha-ualimu-bunda,regulator,medium,2026-04-24,Listed on ministry page under public colleges. Programme details require institution-level verification.
Chuo cha Ualimu Bustani,chuo cha ualimu bustani,,Ministry,,public,teacher college,,,,Mainland,,,,CAS,https://www.moe.go.tz/sw/matangazo/tangazo-la-nafasi-za-mafunzo-ya-ualimu-ngazi-ya-stashahada-ya-ualimu-elimu-ya-awali-na,regulator,high,2026-04-24,Government teacher college offering diploma pathway(s) in 2025/2026 ministry notice. Apply via tcm.moe.go.tz.
Chuo cha Ualimu Ilonga,chuo cha ualimu ilonga,,Ministry,,public,teacher college,,,,Mainland,,,,CAS,https://www.moe.go.tz/sw/matangazo/tangazo-la-nafasi-za-mafunzo-ya-ualimu-ngazi-ya-stashahada-ya-ualimu-elimu-ya-awali-na,regulator,high,2026-04-24,Government teacher college offering diploma pathway(s) in 2025/2026 ministry notice. Apply via tcm.moe.go.tz.
Chuo cha Ualimu Kasulu,chuo cha ualimu kasulu,,Ministry,,public,teacher college,,,,Mainland,,,,CAS,https://www.moe.go.tz/sw/matangazo/tangazo-la-nafasi-za-mafunzo-ya-ualimu-ngazi-ya-stashahada-ya-ualimu-elimu-ya-awali-na,regulator,high,2026-04-24,Government teacher college offering diploma pathway(s) in 2025/2026 ministry notice. Apply via tcm.moe.go.tz.
Chuo cha Ualimu Katoke,chuo cha ualimu katoke,,Ministry,,public,teacher college,,,,Mainland,,,,CAS,https://www.moe.go.tz/sw/matangazo/tangazo-la-nafasi-za-mafunzo-ya-ualimu-ngazi-ya-stashahada-ya-ualimu-elimu-ya-awali-na,regulator,high,2026-04-24,Government teacher college offering diploma pathway(s) in 2025/2026 ministry notice. Apply via tcm.moe.go.tz.
Chuo cha Ualimu Kinampanda,chuo cha ualimu kinampanda,,Ministry,,public,teacher college,,,,Mainland,,,,CAS,https://www.moe.go.tz/sw/matangazo/tangazo-la-nafasi-za-mafunzo-ya-ualimu-ngazi-ya-stashahada-ya-ualimu-elimu-ya-awali-na,regulator,high,2026-04-24,Government teacher college offering diploma pathway(s) in 2025/2026 ministry notice. Apply via tcm.moe.go.tz.
Chuo cha Ualimu Kitangali,chuo cha ualimu kitangali,,Ministry,,public,teacher college,,,,Mainland,,,,CAS,https://www.moe.go.tz/sw/matangazo/tangazo-la-nafasi-za-mafunzo-ya-ualimu-ngazi-ya-stashahada-ya-ualimu-elimu-ya-awali-na,regulator,high,2026-04-24,Government teacher college offering diploma pathway(s) in 2025/2026 ministry notice. Apply via tcm.moe.go.tz.
Chuo cha Ualimu Kleruu,chuo cha ualimu kleruu,,Ministry,,public,teacher college,,,,Mainland,,,,CAS,https://www.moe.go.tz/sw/matangazo/tangazo-la-nafasi-za-mafunzo-ya-ualimu-ngazi-ya-stashahada-ya-ualimu-elimu-ya-awali-na,regulator,high,2026-04-24,Government teacher college offering diploma pathway(s) in 2025/2026 ministry notice. Apply via tcm.moe.go.tz.
Chuo cha Ualimu Korogwe,chuo cha ualimu korogwe,,Ministry,,public,teacher college,,,,Mainland,,,,CAS,https://www.moe.go.tz/sw/matangazo/tangazo-la-nafasi-za-mafunzo-ya-ualimu-ngazi-ya-stashahada-ya-ualimu-elimu-ya-awali-na,regulator,high,2026-04-24,Government teacher college offering diploma pathway(s) in 2025/2026 ministry notice. Apply via tcm.moe.go.tz.
Chuo cha Ualimu Mamire,chuo cha ualimu mamire,,Ministry,,public,teacher college,,,,Mainland,,,,CAS,https://www.moe.go.tz/sw/matangazo/tangazo-la-nafasi-za-mafunzo-ya-ualimu-ngazi-ya-stashahada-ya-ualimu-elimu-ya-awali-na,regulator,high,2026-04-24,Government teacher college offering diploma pathway(s) in 2025/2026 ministry notice. Apply via tcm.moe.go.tz.
Chuo cha Ualimu Mandaka,chuo cha ualimu mandaka,,Ministry,,public,teacher college,,,,Mainland,,,,CAS,https://www.moe.go.tz/sw/matangazo/tangazo-la-nafasi-za-mafunzo-ya-ualimu-ngazi-ya-stashahada-ya-ualimu-elimu-ya-awali-na,regulator,high,2026-04-24,Government teacher college offering diploma pathway(s) in 2025/2026 ministry notice. Apply via tcm.moe.go.tz.
Chuo cha Ualimu Marangu,chuo cha ualimu marangu,,Ministry,,public,teacher college,,,,Mainland,,,,CAS,https://www.moe.go.tz/sw/matangazo/tangazo-la-nafasi-za-mafunzo-ya-ualimu-ngazi-ya-stashahada-ya-ualimu-elimu-ya-awali-na,regulator,high,2026-04-24,Government teacher college offering diploma pathway(s) in 2025/2026 ministry notice. Apply via tcm.moe.go.tz.
Chuo cha Ualimu Mhonda,chuo cha ualimu mhonda,,Ministry,,public,teacher college,,,,Mainland,,,,CAS,https://www.moe.go.tz/sw/matangazo/tangazo-la-nafasi-za-mafunzo-ya-ualimu-ngazi-ya-stashahada-ya-ualimu-elimu-ya-awali-na,regulator,high,2026-04-24,Government teacher college offering diploma pathway(s) in 2025/2026 ministry notice. Apply via tcm.moe.go.tz.
Chuo cha Ualimu Monduli,chuo cha ualimu monduli,,Ministry,,public,teacher college,,,,Mainland,,,,CAS,https://www.moe.go.tz/sw/matangazo/tangazo-la-nafasi-za-mafunzo-ya-ualimu-ngazi-ya-stashahada-ya-ualimu-elimu-ya-awali-na,regulator,high,2026-04-24,Government teacher college offering diploma pathway(s) in 2025/2026 ministry notice. Apply via tcm.moe.go.tz.
Chuo cha Ualimu Mpuguso,chuo cha ualimu mpuguso,,Ministry,,public,teacher college,,,,Mainland,,,,CAS,https://www.moe.go.tz/sw/matangazo/tangazo-la-nafasi-za-mafunzo-ya-ualimu-ngazi-ya-stashahada-ya-ualimu-elimu-ya-awali-na,regulator,high,2026-04-24,Government teacher college offering diploma pathway(s) in 2025/2026 ministry notice. Apply via tcm.moe.go.tz.
Chuo cha Ualimu Nachingwea,chuo cha ualimu nachingwea,,Ministry,,public,teacher college,,,,Mainland,,,,CAS,https://www.moe.go.tz/sw/matangazo/tangazo-la-nafasi-za-mafunzo-ya-ualimu-ngazi-ya-stashahada-ya-ualimu-elimu-ya-awali-na,regulator,high,2026-04-24,Government teacher college offering diploma pathway(s) in 2025/2026 ministry notice. Apply via tcm.moe.go.tz.
Chuo cha Ualimu Ndala,chuo cha ualimu ndala,,Ministry,,public,teacher college,,,,Mainland,,,,CAS,https://www.moe.go.tz/sw/matangazo/tangazo-la-nafasi-za-mafunzo-ya-ualimu-ngazi-ya-stashahada-ya-ualimu-elimu-ya-awali-na,regulator,high,2026-04-24,Government teacher college offering diploma pathway(s) in 2025/2026 ministry notice. Apply via tcm.moe.go.tz.
Chuo cha Ualimu Patandi,chuo cha ualimu patandi,,Ministry,,public,teacher college,,,,Mainland,,,,CAS,https://www.moe.go.tz/sw/matangazo/tangazo-la-nafasi-za-mafunzo-ya-ualimu-ngazi-ya-stashahada-ya-ualimu-elimu-ya-awali-na,regulator,high,2026-04-24,Government teacher college offering diploma pathway(s) in 2025/2026 ministry notice. Apply via tcm.moe.go.tz.
Chuo cha Ualimu Singachini,chuo cha ualimu singachini,,Ministry,,public,teacher college,,,,Mainland,,,,CAS,https://www.moe.go.tz/sites/default/files/SINGACHINI%20JOINING_2025.pdf,regulator,medium,2026-04-24,Institution name confirmed from ministry joining instructions. || Government teacher college offering diploma pathway(s) in 2025/2026 ministry notice. Apply via tcm.moe.go.tz.
Chuo cha Ualimu Songea,chuo cha ualimu songea,,Ministry,,public,teacher college,,,,Mainland,,,,CAS,https://www.moe.go.tz/sw/matangazo/tangazo-la-nafasi-za-mafunzo-ya-ualimu-ngazi-ya-stashahada-ya-ualimu-elimu-ya-awali-na,regulator,high,2026-04-24,Government teacher college offering diploma pathway(s) in 2025/2026 ministry notice. Apply via tcm.moe.go.tz.
Chuo cha Ualimu Sumbawanga,chuo cha ualimu sumbawanga,,Ministry,,public,teacher college,,,,Mainland,,,,CAS,https://www.moe.go.tz/sw/matangazo/tangazo-la-nafasi-za-mafunzo-ya-ualimu-ngazi-ya-stashahada-ya-ualimu-elimu-ya-awali-na,regulator,high,2026-04-24,Government teacher college offering diploma pathway(s) in 2025/2026 ministry notice. Apply via tcm.moe.go.tz.
Chuo cha Ualimu Tandala,chuo cha ualimu tandala,,Ministry,,public,teacher college,,,,Mainland,,,,CAS,https://www.moe.go.tz/sw/matangazo/tangazo-la-nafasi-za-mafunzo-ya-ualimu-ngazi-ya-stashahada-ya-ualimu-elimu-ya-awali-na,regulator,high,2026-04-24,Government teacher college offering diploma pathway(s) in 2025/2026 ministry notice. Apply via tcm.moe.go.tz.
Chuo cha Ualimu Tarime,chuo cha ualimu tarime,,Ministry,,public,teacher college,,,,Mainland,,,,CAS,https://www.moe.go.tz/sw/matangazo/tangazo-la-nafasi-za-mafunzo-ya-ualimu-ngazi-ya-stashahada-ya-ualimu-elimu-ya-awali-na,regulator,high,2026-04-24,Government teacher college offering diploma pathway(s) in 2025/2026 ministry notice. Apply via tcm.moe.go.tz.
Chuo cha Ualimu Tukuyu,chuo cha ualimu tukuyu,,Ministry,,public,teacher college,,,,Mainland,,,,CAS,https://www.moe.go.tz/sw/matangazo/tangazo-la-nafasi-za-mafunzo-ya-ualimu-ngazi-ya-stashahada-ya-ualimu-elimu-ya-awali-na,regulator,high,2026-04-24,Government teacher college offering diploma pathway(s) in 2025/2026 ministry notice. Apply via tcm.moe.go.tz.
Chuo cha Ualimu Vikindu,chuo cha ualimu vikindu,,Ministry,,public,teacher college,,,,Mainland,,,,CAS,https://www.moe.go.tz/sw/matangazo/tangazo-la-nafasi-za-mafunzo-ya-ualimu-ngazi-ya-stashahada-ya-ualimu-elimu-ya-awali-na,regulator,high,2026-04-24,Government teacher college offering diploma pathway(s) in 2025/2026 ministry notice. Apply via tcm.moe.go.tz.
Coast,coast,,Ministry,,unknown,teacher college,,,,Mainland,,,,direct institution,https://www.moe.go.tz/sw/matangazo/tangazo-la-nafasi-za-mafunzo-ya-ualimu-ngazi-ya-stashahada-ya-ualimu-elimu-ya-awali-na,regulator,medium,2026-04-24,Listed in ministry 2025/2026 admission notice under non-government teacher colleges. Official notice gives short institution name only; full identity/location should be verified institution-by-institution.
DC Brilliant,dc brilliant,,Ministry,,unknown,teacher college,,,,Mainland,,,,direct institution,https://www.moe.go.tz/sw/matangazo/tangazo-la-nafasi-za-mafunzo-ya-ualimu-ngazi-ya-stashahada-ya-ualimu-elimu-ya-awali-na,regulator,medium,2026-04-24,Listed in ministry 2025/2026 admission notice under non-government teacher colleges. Official notice gives short institution name only; full identity/location should be verified institution-by-institution.
Darmiki,darmiki,,Ministry,,unknown,teacher college,,,,Mainland,,,,direct institution,https://www.moe.go.tz/sw/matangazo/tangazo-la-nafasi-za-mafunzo-ya-ualimu-ngazi-ya-stashahada-ya-ualimu-elimu-ya-awali-na,regulator,medium,2026-04-24,Listed in ministry 2025/2026 admission notice under non-government teacher colleges. Official notice gives short institution name only; full identity/location should be verified institution-by-institution.
EXCELLENT COLLEGE OF HEALTH AND ALLIED SCIENCES - KIBAHA,excellent college of health and allied sciences kibaha,REG/HAS/250,NACTVET,,private,health college,,,"Chemistry, Biology and Physics/Engineering Sciences. A pass in Basic Mathematics and English Language is an added advantage.",Mainland,,,,CAS,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_NTA_2025_2026.pdf,regulator,high,2026-04-24,Listed in NACTVET technical institutions guidebook 2025/2026.
Ebonite,ebonite,,Ministry,,unknown,teacher college,,,,Mainland,,,,direct institution,https://www.moe.go.tz/sw/matangazo/tangazo-la-nafasi-za-mafunzo-ya-ualimu-ngazi-ya-stashahada-ya-ualimu-elimu-ya-awali-na,regulator,medium,2026-04-24,Listed in ministry 2025/2026 admission notice under non-government teacher colleges. Official notice gives short institution name only; full identity/location should be verified institution-by-institution.
GLORIOUS POLYTECHNIC COLLEGE,glorious polytechnic college,REG/NACTVET/0718,NACTVET,,private,technical college,,,Vocational Award (NVA) Level III Certificate in relevant field with a,Mainland,,,,CAS,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_NTA_2025_2026.pdf,regulator,high,2026-04-24,Listed in NACTVET technical institutions guidebook 2025/2026.
Green bird,green bird,,Ministry,,unknown,teacher college,,,,Mainland,,,,direct institution,https://www.moe.go.tz/sw/matangazo/tangazo-la-nafasi-za-mafunzo-ya-ualimu-ngazi-ya-stashahada-ya-ualimu-elimu-ya-awali-na,regulator,medium,2026-04-24,Listed in ministry 2025/2026 admission notice under non-government teacher colleges. Official notice gives short institution name only; full identity/location should be verified institution-by-institution.
KAGEMU SCHOOL OF ENVIRONMENTAL HEALTH SCIENCES,kagemu school of environmental health sciences,REG/HAS/034,NACTVET,,public,health college,,,Sciences,Mainland,,,,CAS,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_NTA_2025_2026.pdf,regulator,high,2026-04-24,Listed in NACTVET technical institutions guidebook 2025/2026.
KAM COLLEGE OF HEALTH SCIENCES,kam college of health sciences,REG/HAS/104,NACTVET,,private,health college,,,"Chemistry, Physics/Engineering Sciences. with four (4) passes in non-religious subjects including Chemistry Biology and Physics/Engineering Sciences. A pass in Basic Mathematics and English Language is an added advantage. Sciences",Mainland,,,,CAS,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_NTA_2025_2026.pdf,regulator,high,2026-04-24,Listed in NACTVET technical institutions guidebook 2025/2026.
King Rumanyika,king rumanyika,,Ministry,,unknown,teacher college,,,,Mainland,,,,direct institution,https://www.moe.go.tz/sw/matangazo/tangazo-la-nafasi-za-mafunzo-ya-ualimu-ngazi-ya-stashahada-ya-ualimu-elimu-ya-awali-na,regulator,medium,2026-04-24,Listed in ministry 2025/2026 admission notice under non-government teacher colleges. Official notice gives short institution name only; full identity/location should be verified institution-by-institution.
King’ori,king ori,,Ministry,,unknown,teacher college,,,,Mainland,,,,direct institution,https://www.moe.go.tz/sw/matangazo/tangazo-la-nafasi-za-mafunzo-ya-ualimu-ngazi-ya-stashahada-ya-ualimu-elimu-ya-awali-na,regulator,medium,2026-04-24,Listed in ministry 2025/2026 admission notice under non-government teacher colleges. Official notice gives short institution name only; full identity/location should be verified institution-by-institution.
Kirinjiko,kirinjiko,,Ministry,,unknown,teacher college,,,,Mainland,,,,direct institution,https://www.moe.go.tz/sw/matangazo/tangazo-la-nafasi-za-mafunzo-ya-ualimu-ngazi-ya-stashahada-ya-ualimu-elimu-ya-awali-na,regulator,medium,2026-04-24,Listed in ministry 2025/2026 admission notice under non-government teacher colleges. Official notice gives short institution name only; full identity/location should be verified institution-by-institution.
Kisongo,kisongo,,Ministry,,unknown,teacher college,,,,Mainland,,,,direct institution,https://www.moe.go.tz/sw/matangazo/tangazo-la-nafasi-za-mafunzo-ya-ualimu-ngazi-ya-stashahada-ya-ualimu-elimu-ya-awali-na,regulator,medium,2026-04-24,Listed in ministry 2025/2026 admission notice under non-government teacher colleges. Official notice gives short institution name only; full identity/location should be verified institution-by-institution.
LIVESTOCK TRAINING AGENCY MPWAPWA CAMPUS,livestock training agency mpwapwa campus,REG/ANE/013,NACTVET,,public,agriculture college,,,Agricultural Sciences,Mainland,,,,CAS,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_NTA_2025_2026.pdf,regulator,high,2026-04-24,Listed in NACTVET technical institutions guidebook 2025/2026.
Lake,lake,,Ministry,,unknown,teacher college,,,,Mainland,,,,direct institution,https://www.moe.go.tz/sw/matangazo/tangazo-la-nafasi-za-mafunzo-ya-ualimu-ngazi-ya-stashahada-ya-ualimu-elimu-ya-awali-na,regulator,medium,2026-04-24,Listed in ministry 2025/2026 admission notice under non-government teacher colleges. Official notice gives short institution name only; full identity/location should be verified institution-by-institution.
Lua,lua,,Ministry,,unknown,teacher college,,,,Mainland,,,,direct institution,https://www.moe.go.tz/sw/matangazo/tangazo-la-nafasi-za-mafunzo-ya-ualimu-ngazi-ya-stashahada-ya-ualimu-elimu-ya-awali-na,regulator,medium,2026-04-24,Listed in ministry 2025/2026 admission notice under non-government teacher colleges. Official notice gives short institution name only; full identity/location should be verified institution-by-institution.
MACWISH COLLEGE OF HEALTH AND ALLIED SCIENCES,macwish college of health and allied sciences,REG/HAS/240,NACTVET,,private,health college,,,"Chemistry, Biology and Physics/Engineering Sciences. A Pass in Basic Mathematics and English Language Is An Added Advantage. with D passes in Chemistry, Biology, Physics, Basic Mathematics and English Language.",Mainland,,,,CAS,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_NTA_2025_2026.pdf,regulator,high,2026-04-24,Listed in NACTVET technical institutions guidebook 2025/2026.
MINERAL RESOURCES INSTITUTE,mineral resources institute,MADINI INSTITUTE,NACTVET,,unknown,technical college,,,"and Management with Passes in Basic Mathematics, Physics/Engineering Sciences English, Chemistry and Geography",Mainland,,,,CAS,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_NTA_2025_2026.pdf,regulator,high,2026-04-24,Listed in NACTVET technical institutions guidebook 2025/2026.
MLANDIZI COLLEGE OF HEALTH AND ALLIED SCIENCES - KIBAHA,mlandizi college of health and allied sciences kibaha,REG/HAS/238,NACTVET,,private,health college,,,,Mainland,,,,CAS,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_NTA_2025_2026.pdf,regulator,high,2026-04-24,Listed in NACTVET technical institutions guidebook 2025/2026.
MPWAPWA INSTITUTE OF HEALTH AND ALLIED SCIENCES,mpwapwa institute of health and allied sciences,REG/HAS/217P,NACTVET,,public,health college,,,Sciences,Mainland,,,,CAS,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_NTA_2025_2026.pdf,regulator,high,2026-04-24,Listed in NACTVET technical institutions guidebook 2025/2026.
Mong’are,mong are,,Ministry,,unknown,teacher college,,,,Mainland,,,,direct institution,https://www.moe.go.tz/sw/matangazo/tangazo-la-nafasi-za-mafunzo-ya-ualimu-ngazi-ya-stashahada-ya-ualimu-elimu-ya-awali-na,regulator,medium,2026-04-24,Listed in ministry 2025/2026 admission notice under non-government teacher colleges. Official notice gives short institution name only; full identity/location should be verified institution-by-institution.
Montessori Kawekamo,montessori kawekamo,,Ministry,,unknown,teacher college,,,,Mainland,,,,direct institution,https://www.moe.go.tz/sw/matangazo/tangazo-la-nafasi-za-mafunzo-ya-ualimu-ngazi-ya-stashahada-ya-ualimu-elimu-ya-awali-na,regulator,medium,2026-04-24,Listed in ministry 2025/2026 admission notice under non-government teacher colleges. Official notice gives short institution name only; full identity/location should be verified institution-by-institution.
Mtumba,mtumba,,Ministry,,unknown,teacher college,,,,Mainland,,,,direct institution,https://www.moe.go.tz/sw/matangazo/tangazo-la-nafasi-za-mafunzo-ya-ualimu-ngazi-ya-stashahada-ya-ualimu-elimu-ya-awali-na,regulator,medium,2026-04-24,Listed in ministry 2025/2026 admission notice under non-government teacher colleges. Official notice gives short institution name only; full identity/location should be verified institution-by-institution.
Mwl. Franz,mwl franz,,Ministry,,unknown,teacher college,,,,Mainland,,,,direct institution,https://www.moe.go.tz/sw/matangazo/tangazo-la-nafasi-za-mafunzo-ya-ualimu-ngazi-ya-stashahada-ya-ualimu-elimu-ya-awali-na,regulator,medium,2026-04-24,Listed in ministry 2025/2026 admission notice under non-government teacher colleges. Official notice gives short institution name only; full identity/location should be verified institution-by-institution.
NSHAMBYA INSTITUTE OF EDUCATION,nshambya institute of education,REG/PWF/054,NACTVET,,private,business college,,,"Development, Social Work, Community Health, Youth Work, Gender",Mainland,,,,CAS,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_NTA_2025_2026.pdf,regulator,high,2026-04-24,Listed in NACTVET technical institutions guidebook 2025/2026.
Nazareth,nazareth,,Ministry,,unknown,teacher college,,,,Mainland,,,,direct institution,https://www.moe.go.tz/sw/matangazo/tangazo-la-nafasi-za-mafunzo-ya-ualimu-ngazi-ya-stashahada-ya-ualimu-elimu-ya-awali-na,regulator,medium,2026-04-24,Listed in ministry 2025/2026 admission notice under non-government teacher colleges. Official notice gives short institution name only; full identity/location should be verified institution-by-institution.
