institution_name,registration_number,registration_number_as_shown,accreditation_status,ownership_type,institution_category,region,district/council,physical_location,website,phone_numbers,email,application_method,has_form_four_direct_programme,official_source_url,source_type,secondary_source_url,secondary_source_type,tcu_matched_name,confidence_level,last_verified_date,notes
AMENYE HEALTH TRAINING INSTITUTE,REG/HAS/134,(REG/HAS/134),unknown,private,health,Mbeya,Mbeya City Council,Mbeya City Council - Mbeya,,,,direct institution,yes,https://www.nactvet.go.tz/uploads/documents/en-1748443044-GUIDEBOOK%20FOR%20ALL%20NTA_2025_2026.pdf,NACTVET,,,,high,2026-04-24,"Listed in NACTVET Admission Guidebook 2025/2026. Guidebook provides location, ownership, programme list, entry requirements, duration, capacity and fees, but not website/contact details or an exact accreditation-status label."
APPLE VALLEY INSTITUTE OF HEALTH SCIENCES AND TECHNOLOGY,REG/HAS/188P,(REG/HAS/188P),unknown,private,health,Dar es Salaam,Kigamboni Municipal Council,Kigamboni Municipal Council - Dar es Salaam,,,,direct institution,yes,https://www.nactvet.go.tz/uploads/documents/en-1748443044-GUIDEBOOK%20FOR%20ALL%20NTA_2025_2026.pdf,NACTVET,,,,high,2026-04-24,"Listed in NACTVET Admission Guidebook 2025/2026. Guidebook provides location, ownership, programme list, entry requirements, duration, capacity and fees, but not website/contact details or an exact accreditation-status label."
ARDHI INSTITUTE - TABORA,REG/EOS/010,(REG/EOS/010),unknown,public,mixed,Tabora,Tabora Municipal Council,Tabora Municipal Council - Tabora,,,,direct institution,yes,https://www.nactvet.go.tz/uploads/documents/en-1748443044-GUIDEBOOK%20FOR%20ALL%20NTA_2025_2026.pdf,NACTVET,,,,high,2026-04-24,"Listed in NACTVET Admission Guidebook 2025/2026. Guidebook provides location, ownership, programme list, entry requirements, duration, capacity and fees, but not website/contact details or an exact accreditation-status label."
ARDHI INSTITUTE MOROGORO,REG/EOS/008,(REG/EOS/008),unknown,public,mixed,Morogoro,Morogoro Municipal Council,Morogoro Municipal Council - Morogoro,,,,direct institution,yes,https://www.nactvet.go.tz/uploads/documents/en-1748443044-GUIDEBOOK%20FOR%20ALL%20NTA_2025_2026.pdf,NACTVET,,,,high,2026-04-24,"Listed in NACTVET Admission Guidebook 2025/2026. Guidebook provides location, ownership, programme list, entry requirements, duration, capacity and fees, but not website/contact details or an exact accreditation-status label."
ARUSHA ADVENTIST COLLEGE,REG/BTP/161,(REG/BTP/161),unknown,religious,business,Arusha,Arusha City Council,Arusha City Council - Arusha,,,,direct institution,yes,https://www.nactvet.go.tz/uploads/documents/en-1748443044-GUIDEBOOK%20FOR%20ALL%20NTA_2025_2026.pdf,NACTVET,,,,high,2026-04-24,"Listed in NACTVET Admission Guidebook 2025/2026. Guidebook provides location, ownership, programme list, entry requirements, duration, capacity and fees, but not website/contact details or an exact accreditation-status label."
ARUSHA COLLEGE OF ADMINISTRATION,REG/BTP/162,(REG/BTP/162),unknown,private,business,Arusha,Monduli District Council,Monduli District Council - Arusha,,,,direct institution,yes,https://www.nactvet.go.tz/uploads/documents/en-1748443044-GUIDEBOOK%20FOR%20ALL%20NTA_2025_2026.pdf,NACTVET,,,,high,2026-04-24,"Listed in NACTVET Admission Guidebook 2025/2026. Guidebook provides location, ownership, programme list, entry requirements, duration, capacity and fees, but not website/contact details or an exact accreditation-status label."
ARUSHA INSTITUTE OF BUSINESS STUDIES,REG/BTP/047,(REG/BTP/047),unknown,private,business,Arusha,Arusha City Council,Arusha City Council - Arusha,,,,direct institution,yes,https://www.nactvet.go.tz/uploads/documents/en-1748443044-GUIDEBOOK%20FOR%20ALL%20NTA_2025_2026.pdf,NACTVET,,,,high,2026-04-24,"Listed in NACTVET Admission Guidebook 2025/2026. Guidebook provides location, ownership, programme list, entry requirements, duration, capacity and fees, but not website/contact details or an exact accreditation-status label."
ARUSHA LUTHERAN MEDICAL TRAINING CENTRE,REG/HAS/115,(REG/HAS/115),unknown,private,mixed,Arusha,Arusha District Council,Arusha District Council - Arusha,,,,direct institution,yes,https://www.nactvet.go.tz/uploads/documents/en-1748443044-GUIDEBOOK%20FOR%20ALL%20NTA_2025_2026.pdf,NACTVET,,,,high,2026-04-24,"Listed in NACTVET Admission Guidebook 2025/2026. Guidebook provides location, ownership, programme list, entry requirements, duration, capacity and fees, but not website/contact details or an exact accreditation-status label."
ARUSHA TECHNICAL COLLEGE - ARUSHA,REG/EOS/004,(REG/EOS/004),unknown,public,technical,Arusha,Arusha City Council,Arusha City Council - Arusha,,,,direct institution,yes,https://www.nactvet.go.tz/uploads/documents/en-1748443044-GUIDEBOOK%20FOR%20ALL%20NTA_2025_2026.pdf,NACTVET,,,,high,2026-04-24,"Listed in NACTVET Admission Guidebook 2025/2026. Guidebook provides location, ownership, programme list, entry requirements, duration, capacity and fees, but not website/contact details or an exact accreditation-status label."
BAGAMOYO PROFESSIONAL COLLEGE,REG/BTP/142P,(REG/BTP/142P),unknown,private,mixed,Pwani,Bagamoyo District Council,Bagamoyo District Council - Pwani,,,,direct institution,yes,https://www.nactvet.go.tz/uploads/documents/en-1748443044-GUIDEBOOK%20FOR%20ALL%20NTA_2025_2026.pdf,NACTVET,,,,high,2026-04-24,"Listed in NACTVET Admission Guidebook 2025/2026. Guidebook provides location, ownership, programme list, entry requirements, duration, capacity and fees, but not website/contact details or an exact accreditation-status label."
BAGAMOYO SCHOOL OF NURSING,REG/HAS/078,(REG/HAS/078),unknown,public,health,Pwani,Bagamoyo District Council,Bagamoyo District Council - Pwani,,,,direct institution,yes,https://www.nactvet.go.tz/uploads/documents/en-1748443044-GUIDEBOOK%20FOR%20ALL%20NTA_2025_2026.pdf,NACTVET,,,,high,2026-04-24,"Listed in NACTVET Admission Guidebook 2025/2026. Guidebook provides location, ownership, programme list, entry requirements, duration, capacity and fees, but not website/contact details or an exact accreditation-status label."
BANDARI COLLEGE DAR-ES-SALAAM,REG/EOS/018,(REG/EOS/018),unknown,public,business,Dar es Salaam,Temeke Municipal Council,Temeke Municipal Council - Dar es Salaam,,,,direct institution,yes,https://www.nactvet.go.tz/uploads/documents/en-1748443044-GUIDEBOOK%20FOR%20ALL%20NTA_2025_2026.pdf,NACTVET,,,,high,2026-04-24,"Listed in NACTVET Admission Guidebook 2025/2026. Guidebook provides location, ownership, programme list, entry requirements, duration, capacity and fees, but not website/contact details or an exact accreditation-status label."
BANK OF TANZANIA ACADEMY,REG/BTP/116,(REG/BTP/116),unknown,public,business,Mwanza,Nyamagana Municipal Council,Nyamagana Municipal Council - Mwanza,,,,direct institution,no,https://www.nactvet.go.tz/uploads/documents/en-1748443044-GUIDEBOOK%20FOR%20ALL%20NTA_2025_2026.pdf,NACTVET,,,,high,2026-04-24,"Listed in NACTVET Admission Guidebook 2025/2026. Guidebook provides location, ownership, programme list, entry requirements, duration, capacity and fees, but not website/contact details or an exact accreditation-status label."
BECUS HEALTH TRAINING CENTRE,REG/HAS/203,(REG/HAS/203),unknown,private,health,Iringa,Mafinga Town Counci,Mafinga Town Counci - Iringa,,,,direct institution,yes,https://www.nactvet.go.tz/uploads/documents/en-1748443044-GUIDEBOOK%20FOR%20ALL%20NTA_2025_2026.pdf,NACTVET,,,,high,2026-04-24,"Listed in NACTVET Admission Guidebook 2025/2026. Guidebook provides location, ownership, programme list, entry requirements, duration, capacity and fees, but not website/contact details or an exact accreditation-status label."
BEEKEEPING TRAINING INSTITUTE - TABORA,REG/ANE/035,(REG/ANE/035),unknown,public,agriculture,Tabora,Tabora Municipal Council,Tabora Municipal Council - Tabora,,,,direct institution,yes,https://www.nactvet.go.tz/uploads/documents/en-1748443044-GUIDEBOOK%20FOR%20ALL%20NTA_2025_2026.pdf,NACTVET,,,,high,2026-04-24,"Listed in NACTVET Admission Guidebook 2025/2026. Guidebook provides location, ownership, programme list, entry requirements, duration, capacity and fees, but not website/contact details or an exact accreditation-status label."
BENJAMIN MKAPA INSTITUTE OF HEALTH AND ALLIED SCIENCES,REG/HAS/241,(REG/HAS/241),unknown,public,business,Dodoma,Dodoma Municipal Council,Dodoma Municipal Council - Dodoma,,,,direct institution,yes,https://www.nactvet.go.tz/uploads/documents/en-1748443044-GUIDEBOOK%20FOR%20ALL%20NTA_2025_2026.pdf,NACTVET,,,,high,2026-04-24,"Listed in NACTVET Admission Guidebook 2025/2026. Guidebook provides location, ownership, programme list, entry requirements, duration, capacity and fees, but not website/contact details or an exact accreditation-status label."
BEREGA INSTITUTE OF HEALTH SCIENCES,REG/HAS/108,(REG/HAS/108),unknown,religious,health,Morogoro,Kilosa District Council,Kilosa District Council - Morogoro,,,,direct institution,yes,https://www.nactvet.go.tz/uploads/documents/en-1748443044-GUIDEBOOK%20FOR%20ALL%20NTA_2025_2026.pdf,NACTVET,,,,high,2026-04-24,"Listed in NACTVET Admission Guidebook 2025/2026. Guidebook provides location, ownership, programme list, entry requirements, duration, capacity and fees, but not website/contact details or an exact accreditation-status label."
BESHA HEALTH TRAINING INSTITUTE,REG/HAS/118,(REG/HAS/118),unknown,private,health,Tanga,Tanga City Council,Tanga City Council - Tanga,,,,direct institution,yes,https://www.nactvet.go.tz/uploads/documents/en-1748443044-GUIDEBOOK%20FOR%20ALL%20NTA_2025_2026.pdf,NACTVET,,,,high,2026-04-24,"Listed in NACTVET Admission Guidebook 2025/2026. Guidebook provides location, ownership, programme list, entry requirements, duration, capacity and fees, but not website/contact details or an exact accreditation-status label."
BESTWAY INSTITUTE OF BUSINESS,REG/BTP/129P,(REG/BTP/129P),unknown,private,business,Dar es Salaam,Kinondoni Municipal Council,Kinondoni Municipal Council - Dar es Salaam,,,,direct institution,yes,https://www.nactvet.go.tz/uploads/documents/en-1748443044-GUIDEBOOK%20FOR%20ALL%20NTA_2025_2026.pdf,NACTVET,,,,high,2026-04-24,"Listed in NACTVET Admission Guidebook 2025/2026. Guidebook provides location, ownership, programme list, entry requirements, duration, capacity and fees, but not website/contact details or an exact accreditation-status label."
BIHARAMULO COLLEGE OF BUSINESS AND TECHNOLOGY,REG/BTP/121,(REG/BTP/121),unknown,private,mixed,Kagera,Biharamulo District Council,Biharamulo District Council - Kagera,,,,direct institution,yes,https://www.nactvet.go.tz/uploads/documents/en-1748443044-GUIDEBOOK%20FOR%20ALL%20NTA_2025_2026.pdf,NACTVET,,,,high,2026-04-24,"Listed in NACTVET Admission Guidebook 2025/2026. Guidebook provides location, ownership, programme list, entry requirements, duration, capacity and fees, but not website/contact details or an exact accreditation-status label."
BIHARAMULO HEALTH SCIENCES TRAINING COLLEGE,REG/HAS/121,(REG/HAS/121),unknown,religious,health,Kagera,Biharamulo District Council,Biharamulo District Council - Kagera,,,,direct institution,yes,https://www.nactvet.go.tz/uploads/documents/en-1748443044-GUIDEBOOK%20FOR%20ALL%20NTA_2025_2026.pdf,NACTVET,,,,high,2026-04-24,"Listed in NACTVET Admission Guidebook 2025/2026. Guidebook provides location, ownership, programme list, entry requirements, duration, capacity and fees, but not website/contact details or an exact accreditation-status label."
BISHOP KISULA COLLEGE OF HEALTH AND ALLIED SCIENCES,REG/HAS/132,(REG/HAS/132),unknown,religious,health,Simiyu,Busega District Council,Busega District Council - Simiyu,,,,direct institution,yes,https://www.nactvet.go.tz/uploads/documents/en-1748443044-GUIDEBOOK%20FOR%20ALL%20NTA_2025_2026.pdf,NACTVET,,,,high,2026-04-24,"Listed in NACTVET Admission Guidebook 2025/2026. Guidebook provides location, ownership, programme list, entry requirements, duration, capacity and fees, but not website/contact details or an exact accreditation-status label."
BISHOP NICODEMUS HHANDO COLLEGE OF HEALTH SCIENCES,REG/HAS/149,(REG/HAS/149),unknown,religious,health,Manyara,Babati District Council,Babati District Council - Manyara,,,,direct institution,yes,https://www.nactvet.go.tz/uploads/documents/en-1748443044-GUIDEBOOK%20FOR%20ALL%20NTA_2025_2026.pdf,NACTVET,,,,high,2026-04-24,"Listed in NACTVET Admission Guidebook 2025/2026. Guidebook provides location, ownership, programme list, entry requirements, duration, capacity and fees, but not website/contact details or an exact accreditation-status label."
BLUE PHARMA COLLEGE OF HEALTH,REG/HAS/187,(REG/HAS/187),unknown,private,health,Singida,Singida District Council,Singida District Council - Singida,,,,direct institution,yes,https://www.nactvet.go.tz/uploads/documents/en-1748443044-GUIDEBOOK%20FOR%20ALL%20NTA_2025_2026.pdf,NACTVET,,,,high,2026-04-24,"Listed in NACTVET Admission Guidebook 2025/2026. Guidebook provides location, ownership, programme list, entry requirements, duration, capacity and fees, but not website/contact details or an exact accreditation-status label."
BORIGARAM AGRICULTURE TECHNICAL COLLEGE (FRIENDS ON THE PATH),REG/SAT/028,(REG/SAT/028),unknown,religious,agriculture,Dar es Salaam,Temeke Municipal Council,Temeke Municipal Council - Dar es Salaam,,,,direct institution,yes,https://www.nactvet.go.tz/uploads/documents/en-1748443044-GUIDEBOOK%20FOR%20ALL%20NTA_2025_2026.pdf,NACTVET,,,,high,2026-04-24,"Listed in NACTVET Admission Guidebook 2025/2026. Guidebook provides location, ownership, programme list, entry requirements, duration, capacity and fees, but not website/contact details or an exact accreditation-status label."
BUHARE COMMUNITY DEVELOPMENT TRAINING INSTITUTE- MUSOMA,REG/PWF/011,(REG/PWF/011),unknown,public,mixed,Mara,Musoma Municipal Council,Musoma Municipal Council - Mara,,,,direct institution,yes,https://www.nactvet.go.tz/uploads/documents/en-1748443044-GUIDEBOOK%20FOR%20ALL%20NTA_2025_2026.pdf,NACTVET,,,,high,2026-04-24,"Listed in NACTVET Admission Guidebook 2025/2026. Guidebook provides location, ownership, programme list, entry requirements, duration, capacity and fees, but not website/contact details or an exact accreditation-status label."
BUHEMBA COMMUNITY DEVELOPMENT TRAINING INSTITUTE (BUHEMBA CDTI) - BUTIAMA,REG/PWF/049,(REG/PWF/049),unknown,private,mixed,Mara,Butiama District Council,Butiama District Council - Mara,,,,direct institution,yes,https://www.nactvet.go.tz/uploads/documents/en-1748443044-GUIDEBOOK%20FOR%20ALL%20NTA_2025_2026.pdf,NACTVET,,,,high,2026-04-24,"Listed in NACTVET Admission Guidebook 2025/2026. Guidebook provides location, ownership, programme list, entry requirements, duration, capacity and fees, but not website/contact details or an exact accreditation-status label."
BUHONGWA COLLEGE OF HEALTH AND ALLIED SCIENCES,REG/HAS/208,(REG/HAS/208),unknown,private,health,Mwanza,Nyamagana Municipal Council,Nyamagana Municipal Council - Mwanza,,,,direct institution,yes,https://www.nactvet.go.tz/uploads/documents/en-1748443044-GUIDEBOOK%20FOR%20ALL%20NTA_2025_2026.pdf,NACTVET,,,,high,2026-04-24,"Listed in NACTVET Admission Guidebook 2025/2026. Guidebook provides location, ownership, programme list, entry requirements, duration, capacity and fees, but not website/contact details or an exact accreditation-status label."
BUHONGWA COLLEGE OF HEALTH AND ALLIED SCIENCES - USAGARA,REG/HAS/263,(REG/HAS/263),unknown,private,health,Mwanza,Nyamagana Municipal Council,Nyamagana Municipal Council - Mwanza,,,,direct institution,yes,https://www.nactvet.go.tz/uploads/documents/en-1748443044-GUIDEBOOK%20FOR%20ALL%20NTA_2025_2026.pdf,NACTVET,,,,high,2026-04-24,"Listed in NACTVET Admission Guidebook 2025/2026. Guidebook provides location, ownership, programme list, entry requirements, duration, capacity and fees, but not website/contact details or an exact accreditation-status label."
BUKUMBI INSTITUTE OF HEALTH AND ALLIED SCIENCES,REG/HAS/019N,(REG/HAS/019N),unknown,religious,health,Mwanza,Misungwi District Council,Misungwi District Council - Mwanza,,,,direct institution,yes,https://www.nactvet.go.tz/uploads/documents/en-1748443044-GUIDEBOOK%20FOR%20ALL%20NTA_2025_2026.pdf,NACTVET,,,,high,2026-04-24,"Listed in NACTVET Admission Guidebook 2025/2026. Guidebook provides location, ownership, programme list, entry requirements, duration, capacity and fees, but not website/contact details or an exact accreditation-status label."
BULONGWA HEALTH SCIENCES INSTITUTE,REG/HAS/053,(REG/HAS/053),unknown,religious,health,Njombe,Makete District Council,Makete District Council - Njombe,,,,direct institution,yes,https://www.nactvet.go.tz/uploads/documents/en-1748443044-GUIDEBOOK%20FOR%20ALL%20NTA_2025_2026.pdf,NACTVET,,,,high,2026-04-24,"Listed in NACTVET Admission Guidebook 2025/2026. Guidebook provides location, ownership, programme list, entry requirements, duration, capacity and fees, but not website/contact details or an exact accreditation-status label."
BUMBULI COLLEGE OF HEALTH AND ALLIED SCIENCES,REG/HAS/073,(REG/HAS/073),unknown,religious,health,Tanga,Lushoto District Council,Lushoto District Council - Tanga,,,,direct institution,yes,https://www.nactvet.go.tz/uploads/documents/en-1748443044-GUIDEBOOK%20FOR%20ALL%20NTA_2025_2026.pdf,NACTVET,,,,high,2026-04-24,"Listed in NACTVET Admission Guidebook 2025/2026. Guidebook provides location, ownership, programme list, entry requirements, duration, capacity and fees, but not website/contact details or an exact accreditation-status label."
BWIMA INSTITUTE OF HEALTH AND ALLIED SCIENCES,REG/HAS/151C,(REG/HAS/151C),unknown,private,mixed,Mwanza,Ilemela Municipal Council,Ilemela Municipal Council - Mwanza,,,,direct institution,yes,https://www.nactvet.go.tz/uploads/documents/en-1748443044-GUIDEBOOK%20FOR%20ALL%20NTA_2025_2026.pdf,NACTVET,,,,high,2026-04-24,"Listed in NACTVET Admission Guidebook 2025/2026. Guidebook provides location, ownership, programme list, entry requirements, duration, capacity and fees, but not website/contact details or an exact accreditation-status label."
CARDINAL RUGAMBWA MEMORIAL COLLEGE,REG/BTP/108,(REG/BTP/108),unknown,religious,mixed,Kagera,Bukoba Municipal Council,Bukoba Municipal Council - Kagera,,,,direct institution,yes,https://www.nactvet.go.tz/uploads/documents/en-1748443044-GUIDEBOOK%20FOR%20ALL%20NTA_2025_2026.pdf,NACTVET,,,,high,2026-04-24,"Listed in NACTVET Admission Guidebook 2025/2026. Guidebook provides location, ownership, programme list, entry requirements, duration, capacity and fees, but not website/contact details or an exact accreditation-status label."
CATHOLIC UNIVERSITY COLLEGE OF MBEYA,TCU/M.10/1.1,(TCU/M.10/1.1),Accredited,religious,business,Mbeya,Mbeya City Council,Mbeya City Council - Mbeya,,,,direct institution,no,https://www.nactvet.go.tz/uploads/documents/en-1748443284-GUIDEBOOK%20FOR%20ALL%20UNIVERSITIES_2025_2026.pdf,NACTVET,https://www.tcu.go.tz/services/accreditation/universities-registered-tanzania,TCU,"Catholic University of Mbeya (CUoM), formerly CUCoM",high,2026-04-24,"Listed in NACTVET Guidebook for Universities 2025/2026. Accreditation status matched to TCU institution list via 'Catholic University of Mbeya (CUoM), formerly CUCoM'."
CATHOLIC UNIVERSITY OF HEALTH AND ALLIED SCIENCES,CUHAS; CU,(CUHAS) (CU),Accredited,religious,business,Mwanza,Nyamagana Municipal Council,Nyamagana Municipal Council - Mwanza,,,,direct institution,yes,https://www.nactvet.go.tz/uploads/documents/en-1748443284-GUIDEBOOK%20FOR%20ALL%20UNIVERSITIES_2025_2026.pdf,NACTVET,https://www.tcu.go.tz/services/accreditation/universities-registered-tanzania,TCU,Catholic University of Health and Allied Sciences (CUHAS),high,2026-04-24,Listed in NACTVET Guidebook for Universities 2025/2026. Accreditation status matched to TCU institution list via 'Catholic University of Health and Allied Sciences (CUHAS)'. Guidebook header uses code/acronym notation rather than a single standard regulator code; preserved as shown in registration_number_as_shown.
CENTRE FOR EDUCATIONAL DEVELOPMENT IN HEALTH ARUSHA,REG/HAS/086,(REG/HAS/086),unknown,public,health,Arusha,Arusha City Council,Arusha City Council - Arusha,,,,direct institution,yes,https://www.nactvet.go.tz/uploads/documents/en-1748443044-GUIDEBOOK%20FOR%20ALL%20NTA_2025_2026.pdf,NACTVET,,,,high,2026-04-24,"Listed in NACTVET Admission Guidebook 2025/2026. Guidebook provides location, ownership, programme list, entry requirements, duration, capacity and fees, but not website/contact details or an exact accreditation-status label."
CHARLOTTE INSTITUTE OF HEALTH AND ALLIED SCIENCES - SIHA,REG/HAS/259,(REG/HAS/259),unknown,religious,health,Kilimanjaro,Siha District Council,Siha District Council - Kilimanjaro,,,,direct institution,yes,https://www.nactvet.go.tz/uploads/documents/en-1748443044-GUIDEBOOK%20FOR%20ALL%20NTA_2025_2026.pdf,NACTVET,,,,high,2026-04-24,"Listed in NACTVET Admission Guidebook 2025/2026. Guidebook provides location, ownership, programme list, entry requirements, duration, capacity and fees, but not website/contact details or an exact accreditation-status label."
CHATO COLLEGE OF HEALTH SCIENCES AND TECHNOLOGY,REG/HAS/158,(REG/HAS/158),unknown,private,health,Geita,Chato District Council,Chato District Council - Geita,,,,direct institution,yes,https://www.nactvet.go.tz/uploads/documents/en-1748443044-GUIDEBOOK%20FOR%20ALL%20NTA_2025_2026.pdf,NACTVET,,,,high,2026-04-24,"Listed in NACTVET Admission Guidebook 2025/2026. Guidebook provides location, ownership, programme list, entry requirements, duration, capacity and fees, but not website/contact details or an exact accreditation-status label."
CITY COLLEGE OF HEALTH AND ALLIED SCIENCES,REG/HAS/139,(REG/HAS/139),unknown,private,health,Dar es Salaam,Temeke Municipal Council,Temeke Municipal Council - Dar es Salaam,,,,direct institution,yes,https://www.nactvet.go.tz/uploads/documents/en-1748443044-GUIDEBOOK%20FOR%20ALL%20NTA_2025_2026.pdf,NACTVET,,,,high,2026-04-24,"Listed in NACTVET Admission Guidebook 2025/2026. Guidebook provides location, ownership, programme list, entry requirements, duration, capacity and fees, but not website/contact details or an exact accreditation-status label."
CITY COLLEGE OF HEALTH AND ALLIED SCIENCES - ARUSHA CAMPUS,REG/HAS/237,(REG/HAS/237),unknown,private,health,Arusha,Arusha City Council,Arusha City Council - Arusha,,,,direct institution,yes,https://www.nactvet.go.tz/uploads/documents/en-1748443044-GUIDEBOOK%20FOR%20ALL%20NTA_2025_2026.pdf,NACTVET,,,,high,2026-04-24,"Listed in NACTVET Admission Guidebook 2025/2026. Guidebook provides location, ownership, programme list, entry requirements, duration, capacity and fees, but not website/contact details or an exact accreditation-status label."
