programme_name,normalized_programme_name,award_level,field_category,institution_name,institution_registration_number,minimum_entry_requirements,required_subjects,duration,fees_if_available,mode,campus_location,admission_capacity,entry_route_types,accepts_form_four_direct,accreditation_status_if_available,application_link,official_source_url,source_type,secondary_source_url,secondary_source_type,confidence_level,last_verified_date,notes
"Ordinary Diploma in Educational Leadership, Management and Administration",ordinary diploma in educational leadership management and administration,ordinary diploma,education,AGENCY FOR THE DEVELOPMENT OF EDUCATIONAL MANAGEMENT - BAGAMOYO,REG/PWF/020,"Teachers Certificate of Education, Diploma in Teacher Education and Bachelor Degree in Education with at least three years working experience | NTA Level 4/BTC in Educational Leadership, Management and Administration, MUKA, Grade IIIA Teachers Certificate Education, Diploma in Teachers Education and Bachelor Degree in Education with at least three years of working experience",,3 years or 2 years,"Local Fee: TSH. 850,000/=",unknown,Bagamoyo District Council - Pwani,400,NTA Level 4; Certificate; Work experience; Degree,no,unknown,,https://www.nactvet.go.tz/uploads/documents/en-1748443044-GUIDEBOOK%20FOR%20ALL%20NTA_2025_2026.pdf,NACTVET,,,high,2026-04-24,Combined 2 entry route(s) from the guidebook.
Ordinary Diploma in School Quality Assurance,ordinary diploma in school quality assurance,ordinary diploma,other,AGENCY FOR THE DEVELOPMENT OF EDUCATIONAL MANAGEMENT - BAGAMOYO,REG/PWF/020,"NTA Level 4/BTC in Education Management and Administration, MUKA, Grade IIIA Teachers Certificate Education, Diploma in Teachers Education and Bachelor Degree in Education with at least three years of working experience",,2 years,"Local Fee: TSH. 850,000/=",unknown,Bagamoyo District Council - Pwani,400,NTA Level 4; Certificate; Work experience; Degree,no,unknown,,https://www.nactvet.go.tz/uploads/documents/en-1748443044-GUIDEBOOK%20FOR%20ALL%20NTA_2025_2026.pdf,NACTVET,,,high,2026-04-24,
"Ordinary Diploma in Educational Leadership, Management and Administration",ordinary diploma in educational leadership management and administration,ordinary diploma,education,AGENCY FOR THE DEVELOPMENT OF EDUCATIONAL MANAGEMENT - MBEYA,REG/TLF/143,"NTA Level 4/BTC in Educational Leadership, Management and Administration, MUKA, Grade IIIA Teachers Certificate Education, Diploma in Teachers Education and Bachelor Degree in Education with at least three years of working experience",,2 years,"Local Fee: TSH. 850,000/=",unknown,Mbeya City Council - Mbeya,400,NTA Level 4; Certificate; Work experience; Degree,no,unknown,,https://www.nactvet.go.tz/uploads/documents/en-1748443044-GUIDEBOOK%20FOR%20ALL%20NTA_2025_2026.pdf,NACTVET,,,high,2026-04-24,
Ordinary Diploma in Accountancy,ordinary diploma in accountancy,ordinary diploma,business,AL-HARAMAIN PROFESSIONAL COLLEGE,REG/BTP/143P,"CSEE with 4+ non-religious passes | NTA Level 4/BTC in Accountancy, Finance and Banking or ACSEE with 1 principal + 1 subsidiary",Accounting,3 years or 2 years,"Local Fee: TSH. 900,000/=",unknown,Ilala Municipal Council - Dar es Salaam,30 or 40,CSEE; ACSEE; NTA Level 4,yes,unknown,,https://www.nactvet.go.tz/uploads/documents/en-1748443044-GUIDEBOOK%20FOR%20ALL%20NTA_2025_2026.pdf,NACTVET,,,high,2026-04-24,Combined 2 entry route(s) from the guidebook.
Ordinary Diploma in Journalism,ordinary diploma in journalism,ordinary diploma,media,AL-HARAMAIN PROFESSIONAL COLLEGE,REG/BTP/143P,"CSEE with 4+ non-religious passes or NVA Level III with at least two passes in CSEE | NTA Level 4/BTC In Journalism, Mass Communication, TV Production, Media Production or ACSEE with 1 principal + 1 subsidiary",,3 years or 2 years,"Local Fee: TSH. 900,000/=",unknown,Ilala Municipal Council - Dar es Salaam,40,CSEE; ACSEE; NTA Level 4; NVA Level III,yes,unknown,,https://www.nactvet.go.tz/uploads/documents/en-1748443044-GUIDEBOOK%20FOR%20ALL%20NTA_2025_2026.pdf,NACTVET,,,high,2026-04-24,Combined 2 entry route(s) from the guidebook.
Ordinary Diploma in Computing and Information Technology,ordinary diploma in computing and information technology,ordinary diploma,ICT,AL-MAKTOUM COLLEGE OF ENGINEERING AND TECHNOLOGY,REG/EOS/039,"CSEE with 4+ non-religious passes including Passes in Either Biology, Physics, Chemistry, Geography, Basic Mathematics, English Language or NVA Level III in Information Communication Technology with CSEE | NTA Level 4/BTC in Computing and Information Technology, information systems and networking Technology, electric and telecommunication engineering and computer Engineering or ACSEE with at least one Principal pass and one Subsidiary in Physics, Chemistry, Biology, Geography, Advanced Mathematics, Economics, commerce and Accounting",Biology; Chemistry; Physics; Basic Mathematics; Advanced Mathematics; English Language; English; Geography; Economics; Commerce; Accounting,3 years or 2 years,"Local Fee: TSH. 1,230,000/=",unknown,Kinondoni Municipal Council - Dar es Salaam,100,CSEE; ACSEE; NTA Level 4; NVA Level III,yes,unknown,,https://www.nactvet.go.tz/uploads/documents/en-1748443044-GUIDEBOOK%20FOR%20ALL%20NTA_2025_2026.pdf,NACTVET,,,high,2026-04-24,Combined 2 entry route(s) from the guidebook.
Ordinary Diploma in Electrical Engineering,ordinary diploma in electrical engineering,ordinary diploma,engineering,AL-MAKTOUM COLLEGE OF ENGINEERING AND TECHNOLOGY,REG/EOS/039,"Certificate of Secondary Education (CSEE) with 4+ non-religious passes including Basic Mathematics and Physics and any two in Chemistry, English, Geography and Biology or NVA Level III with Certificate of Secondary Education (CSEE)",Biology; Chemistry; Physics; Basic Mathematics; English; Geography,3 years,"Local Fee: TSH. 750,000/=",unknown,Kinondoni Municipal Council - Dar es Salaam,60,CSEE; NVA Level III,yes,unknown,,https://www.nactvet.go.tz/uploads/documents/en-1748443044-GUIDEBOOK%20FOR%20ALL%20NTA_2025_2026.pdf,NACTVET,,,high,2026-04-24,
Ordinary Diploma in Electrical and Electronics Engineering,ordinary diploma in electrical and electronics engineering,ordinary diploma,engineering,AL-MAKTOUM COLLEGE OF ENGINEERING AND TECHNOLOGY,REG/EOS/039,"CSEE with 4+ non-religious passes including a pass in Basic Mathematics and Physics/Engineering Sciences and either Chemistry, English Language, Geography and Biology or National Vocation Award (NVA) III or Trade Test Grade I in Information Communication Technology with CSEE",Biology; Chemistry; Physics/Engineering Sciences; Basic Mathematics; English Language; English; Geography,3 years,"Local Fee: TSH. 750,000/=",unknown,Kinondoni Municipal Council - Dar es Salaam,60,CSEE; NVA Level III; Trade Test Grade I,yes,unknown,,https://www.nactvet.go.tz/uploads/documents/en-1748443044-GUIDEBOOK%20FOR%20ALL%20NTA_2025_2026.pdf,NACTVET,,,high,2026-04-24,
Ordinary Diploma in Electronics and Telecommunication Engineering,ordinary diploma in electronics and telecommunication engineering,ordinary diploma,engineering,AL-MAKTOUM COLLEGE OF ENGINEERING AND TECHNOLOGY,REG/EOS/039,"CSEE with 4+ non-religious passes including a pass in Basic Mathematics and Physics/Engineering Sciences and either Chemistry, English Language, Geography and Biology or NVA Level III or Trade Test Grade I with CSEE",Biology; Chemistry; Physics/Engineering Sciences; Basic Mathematics; English Language; English; Geography,3 years,"Local Fee: TSH. 750,000/=",unknown,Kinondoni Municipal Council - Dar es Salaam,60,CSEE; NVA Level III; Trade Test Grade I,yes,unknown,,https://www.nactvet.go.tz/uploads/documents/en-1748443044-GUIDEBOOK%20FOR%20ALL%20NTA_2025_2026.pdf,NACTVET,,,high,2026-04-24,
Ordinary Diploma in Information System and Network Technology,ordinary diploma in information system and network technology,ordinary diploma,ICT,AL-MAKTOUM COLLEGE OF ENGINEERING AND TECHNOLOGY,REG/EOS/039,"CSEE with 4+ non-religious passes including a pass in Mathematics and three passes from Chemistry, Physics/Engineering, English Language, Geography and Biology or NVA Level III or Trade Test Grade I and Secondary Education Examination (CSEE) Certificate | NTA Level 4/BTC in Information System and Network Technology or ACSEE with 1 principal + 1 subsidiary",Biology; Chemistry; Physics/Engineering Sciences; Mathematics; English Language; English; Geography,3 years or 2 years,"Local Fee: TSH. 750,000/=",unknown,Kinondoni Municipal Council - Dar es Salaam,60,CSEE; ACSEE; NTA Level 4; NVA Level III; Trade Test Grade I,yes,unknown,,https://www.nactvet.go.tz/uploads/documents/en-1748443044-GUIDEBOOK%20FOR%20ALL%20NTA_2025_2026.pdf,NACTVET,,,high,2026-04-24,Combined 2 entry route(s) from the guidebook.
Ordinary Diploma in Laboratory Science and Technology,ordinary diploma in laboratory science and technology,ordinary diploma,health,AL-MAKTOUM COLLEGE OF ENGINEERING AND TECHNOLOGY,REG/EOS/039,"CSEE with at least four (4) passes in either Physics/Engineering Science, English Language, Chemistry, Biology, Geography and Basic Mathematics or NVA Level III or Trade Test Grade I with CSEE | NTA Level 4/BTC in Laboratory Sciences and Technology or ACSEE with 1 principal + 1 subsidiary",Biology; Chemistry; Physics/Engineering Sciences; Basic Mathematics; English Language; English; Geography,3 years or 2 years,"Local Fee: TSH. 1,230,000/=",unknown,Kinondoni Municipal Council - Dar es Salaam,60 or 50,CSEE; ACSEE; NTA Level 4; NVA Level III; Trade Test Grade I,yes,unknown,,https://www.nactvet.go.tz/uploads/documents/en-1748443044-GUIDEBOOK%20FOR%20ALL%20NTA_2025_2026.pdf,NACTVET,,,high,2026-04-24,Combined 2 entry route(s) from the guidebook.
Ordinary Diploma in Accountancy,ordinary diploma in accountancy,ordinary diploma,business,AMANI COLLEGE OF MANAGEMENT AND TECHNOLOGY (ACMT) - NJOMBE,REG/BTP/020,"CSEE with 4+ non-religious passes or NVA Level III with at least two passes in CSEE | NTA Level 4/BTC in Accountancy, Finance and Banking or ACSEE with 1 principal + 1 subsidiary",Accounting,3 years or 2 years,"Local Fee: TSH. 1,110,000/=",unknown,Njombe District Council - Njombe,50,CSEE; ACSEE; NTA Level 4; NVA Level III,yes,unknown,,https://www.nactvet.go.tz/uploads/documents/en-1748443044-GUIDEBOOK%20FOR%20ALL%20NTA_2025_2026.pdf,NACTVET,,,high,2026-04-24,Combined 2 entry route(s) from the guidebook.
Ordinary Diploma in Business Administration,ordinary diploma in business administration,ordinary diploma,business,AMANI COLLEGE OF MANAGEMENT AND TECHNOLOGY (ACMT) - NJOMBE,REG/BTP/020,"CSEE with 4+ non-religious passes | NTA Level 4/BTC in Business Administration, Finance and Banking, Marketing or ACSEE with 1 principal + 1 subsidiary",,3 years or 2 years,"Local Fee: TSH. 800,000/=",unknown,Njombe District Council - Njombe,120 or 50,CSEE; ACSEE; NTA Level 4,yes,unknown,,https://www.nactvet.go.tz/uploads/documents/en-1748443044-GUIDEBOOK%20FOR%20ALL%20NTA_2025_2026.pdf,NACTVET,,,high,2026-04-24,Combined 2 entry route(s) from the guidebook.
Ordinary Diploma in Community Development,ordinary diploma in community development,ordinary diploma,social work,AMANI COLLEGE OF MANAGEMENT AND TECHNOLOGY (ACMT) - NJOMBE,REG/BTP/020,"CSEE with 4+ non-religious passes | Basic Technician Certificate (NTA Level 4 ) in Community Development, Social Work, Gender, Youth Work or ACSEE with 1 principal + 1 subsidiary",,3 years or 2 years,"Local Fee: TSH. 800,000/=",unknown,Njombe District Council - Njombe,50,CSEE; ACSEE; NTA Level 4,yes,unknown,,https://www.nactvet.go.tz/uploads/documents/en-1748443044-GUIDEBOOK%20FOR%20ALL%20NTA_2025_2026.pdf,NACTVET,,,high,2026-04-24,Combined 2 entry route(s) from the guidebook.
Ordinary Diploma in Computing and Information Technology,ordinary diploma in computing and information technology,ordinary diploma,ICT,AMANI COLLEGE OF MANAGEMENT AND TECHNOLOGY (ACMT) - NJOMBE,REG/BTP/020,CSEE with 4+ non-religious passes or NVA Level III in Information Communication Technology and Any Relevant Field from A Recognized Institution Together with A CSEE | NTA Level 4/BTC in Information Communication Technology or ACSEE with 1 principal + 1 subsidiary,,3 years or 2 years,"Local Fee: TSH. 800,000/=",unknown,Njombe District Council - Njombe,70 or 50,CSEE; ACSEE; NTA Level 4; NVA Level III,yes,unknown,,https://www.nactvet.go.tz/uploads/documents/en-1748443044-GUIDEBOOK%20FOR%20ALL%20NTA_2025_2026.pdf,NACTVET,,,high,2026-04-24,Combined 2 entry route(s) from the guidebook.
Ordinary Diploma in Law,ordinary diploma in law,ordinary diploma,law,AMANI COLLEGE OF MANAGEMENT AND TECHNOLOGY (ACMT) - NJOMBE,REG/BTP/020,CSEE with 4+ non-religious passes including English language | NTA Level 4/BTC in Law or ACSEE with 1 principal + 1 subsidiary,English Language; English,3 years or 2 years,"Local Fee: TSH. 111,000/=",unknown,Njombe District Council - Njombe,50,CSEE; ACSEE; NTA Level 4,yes,unknown,,https://www.nactvet.go.tz/uploads/documents/en-1748443044-GUIDEBOOK%20FOR%20ALL%20NTA_2025_2026.pdf,NACTVET,,,high,2026-04-24,Combined 2 entry route(s) from the guidebook.
Basic Technician Certificate in Sign Language and Interpretation,basic technician certificate in sign language and interpretation,basic technician certificate,other,AMANI INSTITUTE OF SIGN LANGUAGE AND INTERPRETATION,REG/BTP/210P,CSEE with 4+ non-religious passes including English Language or Kiswahili,English Language; English; Kiswahili,1 year,"Local Fee: TSH. 1,200,000/=",unknown,Mbeya City Council - Mbeya,50,CSEE,yes,unknown,,https://www.nactvet.go.tz/uploads/documents/en-1748443044-GUIDEBOOK%20FOR%20ALL%20NTA_2025_2026.pdf,NACTVET,,,high,2026-04-24,
Ordinary Diploma in Clinical Medicine,ordinary diploma in clinical medicine,ordinary diploma,health,AMENYE HEALTH TRAINING INSTITUTE,REG/HAS/134,"CSEE with 4+ non-religious passes including Chemistry, Biology and Physics/Engineering Sciences. A pass in Basic Mathematics and English Language is an added advantage",Biology; Chemistry; Physics/Engineering Sciences; Basic Mathematics; English Language; English,3 years,"Local Fee: TSH. 1,400,000/=",unknown,Mbeya City Council - Mbeya,100,CSEE,yes,unknown,,https://www.nactvet.go.tz/uploads/documents/en-1748443044-GUIDEBOOK%20FOR%20ALL%20NTA_2025_2026.pdf,NACTVET,,,high,2026-04-24,
Ordinary Diploma in Medical Laboratory Sciences,ordinary diploma in medical laboratory sciences,ordinary diploma,health,AMENYE HEALTH TRAINING INSTITUTE,REG/HAS/134,"CSEE with 4+ non-religious passes including Chemistry, Biology, Physics/Engineering sciences/Basic Mathematics and English Language",Biology; Chemistry; Physics/Engineering Sciences; Basic Mathematics; English Language; English,3 years,"Local Fee: TSH. 1,400,000/=; Foreigner Fee: USD 1,400/=",unknown,Mbeya City Council - Mbeya,100,CSEE,yes,unknown,,https://www.nactvet.go.tz/uploads/documents/en-1748443044-GUIDEBOOK%20FOR%20ALL%20NTA_2025_2026.pdf,NACTVET,,,high,2026-04-24,
Ordinary Diploma in Pharmaceutical Sciences,ordinary diploma in pharmaceutical sciences,ordinary diploma,health,AMENYE HEALTH TRAINING INSTITUTE,REG/HAS/134,CSEE with 4+ non-religious passes including Chemistry and Biology. A Pass in Basic Mathematics and English Language Is An Added Advantage,Biology; Chemistry; Basic Mathematics; English Language; English,3 years,"Local Fee: TSH. 1,700,000/=; Foreigner Fee: USD 725/=",unknown,Mbeya City Council - Mbeya,100,CSEE,yes,unknown,,https://www.nactvet.go.tz/uploads/documents/en-1748443044-GUIDEBOOK%20FOR%20ALL%20NTA_2025_2026.pdf,NACTVET,,,high,2026-04-24,
Ordinary Diploma in Social Work,ordinary diploma in social work,ordinary diploma,social work,AMENYE HEALTH TRAINING INSTITUTE,REG/HAS/134,"CSEE with 4+ non-religious passes | NTA Level 4/BTC in Social Work, Gender, Community Development, Youth Work or ACSEE with 1 principal + 1 subsidiary",,3 years or 2 years,"Local Fee: TSH. 1,000,000/=; Foreigner Fee: USD 426/=",unknown,Mbeya City Council - Mbeya,100,CSEE; ACSEE; NTA Level 4,yes,unknown,,https://www.nactvet.go.tz/uploads/documents/en-1748443044-GUIDEBOOK%20FOR%20ALL%20NTA_2025_2026.pdf,NACTVET,,,high,2026-04-24,Combined 2 entry route(s) from the guidebook.
Ordinary Diploma in Pharmaceutical Sciences,ordinary diploma in pharmaceutical sciences,ordinary diploma,health,APPLE VALLEY INSTITUTE OF HEALTH SCIENCES AND TECHNOLOGY,REG/HAS/188P,CSEE with 4+ non-religious passes including Chemistry and Biology. A Pass in Basic Mathematics and English Language Is An Added Advantage,Biology; Chemistry; Basic Mathematics; English Language; English,3 years,"Local Fee: TSH. 1,750,000/=",unknown,Kigamboni Municipal Council - Dar es Salaam,250,CSEE,yes,unknown,,https://www.nactvet.go.tz/uploads/documents/en-1748443044-GUIDEBOOK%20FOR%20ALL%20NTA_2025_2026.pdf,NACTVET,,,high,2026-04-24,
Ordinary Diploma in Cartography,ordinary diploma in cartography,ordinary diploma,engineering,ARDHI INSTITUTE - TABORA,REG/EOS/010,"CSEE with 4+ non-religious passes including one pass in Geography, Basic Mathematics, Architectural Draughting, Building Construction or Surveying subjects or NVA Level III in information & Communication Technology or Civil Draughting with a CSEE | NTA Level 4/BTC in Cartography, Land Management, Valuation & Registration, Land Surveying, Graphic Arts & Printing, Photogrammetry, Urban and Regional Planning, Agriculture, Environmental Planning, Environmental Management, Architecture, Architectural, Draughting, Geomatics, Information and Communication Technology, Civil Draughting, Civil Engineering and Rural Development Planning or Advanced Certificates of Secondary Education Examination (ACSEE) with at least one Principal pass and one Subsidiary in Mathematics, Geography, Agriculture, Physics, Chemistry or Economics",Chemistry; Physics; Basic Mathematics; Geography; Economics; Agriculture,3 years or 2 years,"Local Fee: TSH. 1,250,000/=",unknown,Tabora Municipal Council - Tabora,100 or 50,CSEE; ACSEE; NTA Level 4; NVA Level III,yes,unknown,,https://www.nactvet.go.tz/uploads/documents/en-1748443044-GUIDEBOOK%20FOR%20ALL%20NTA_2025_2026.pdf,NACTVET,,,high,2026-04-24,Combined 2 entry route(s) from the guidebook.
Ordinary Diploma in Environmental Management,ordinary diploma in environmental management,ordinary diploma,business,ARDHI INSTITUTE - TABORA,REG/EOS/010,"A CSEE with A Minimum of four Passes, Except Religious Subjects; two (2) of The Passes Should Be Either in Geography or Biology or Physics or Chemistry or Mathematics or A Holder of Nva Level 2 Certificate (veta Graduates) in Relevant Field with A CSEE | A NTA Level 4/BTC in Cartography, Land Management, Valuation &, Registration, Land Surveying, Urban &, Regional Planning, Environmental Planning/management, Civil Engineering and Rural Development Planning from Any Institution Recognised By The Government Education Regulatory Bodies or Possession of An ACSEE with one Principal Pass in Either Mathematics, Geography, Agriculture, Biology, Physics, Economics or Chemistry and At Least one Subsidiary Pass in Any Principal Subject",Biology; Chemistry; Physics; Mathematics; Geography; Economics; Agriculture,3 years or 2 years,"Local Fee: TSH. 1,330,000/=",unknown,Tabora Municipal Council - Tabora,100,CSEE; ACSEE; NTA Level 4; NVA Level III,yes,unknown,,https://www.nactvet.go.tz/uploads/documents/en-1748443044-GUIDEBOOK%20FOR%20ALL%20NTA_2025_2026.pdf,NACTVET,,,high,2026-04-24,Combined 2 entry route(s) from the guidebook.
Ordinary Diploma in Geographical Information System (gis),ordinary diploma in geographical information system gis,ordinary diploma,ICT,ARDHI INSTITUTE - TABORA,REG/EOS/010,"A CSEE with A Minimum of four Passes Except Religious Subjects two (2) of The Passes Should Be Either in Geography, Mathematics, Physics or Chemistry Subjects | Basic Technician Certificates (NTA Level 4) in Geographical Information System, Cartography, Land Management, Valuation and Registration, Land Surveying, Photogrammetry, Geo- Informatics, Environmental Planning/management, Geomatics, Information & Communication Technology and Computer Science from Any Institution Recognized By The Tanzania Government Education Regulatory Bodies or Possession of An ACSEE with one Principal Pass in Mathematics, Geography, or Biology, Physics or Chemistry and At Least one Subsidiary Pass in Any Principal Subject",Biology; Chemistry; Physics; Mathematics; Geography,3 years or 2 years,"Local Fee: TSH. 1,330,000/=",unknown,Tabora Municipal Council - Tabora,100,CSEE; ACSEE; NTA Level 4,yes,unknown,,https://www.nactvet.go.tz/uploads/documents/en-1748443044-GUIDEBOOK%20FOR%20ALL%20NTA_2025_2026.pdf,NACTVET,,,high,2026-04-24,Combined 2 entry route(s) from the guidebook.
