programme_name,normalized_programme_name,institution_name,normalized_institution_name,raw_requirement_text,accepts_form_four_direct,accepts_form_six,accepts_certificate,accepts_diploma,accepts_equivalent,minimum_csee_division_if_available,minimum_acsee_principal_passes_if_available,minimum_points_if_available,required_subjects,required_subject_grades_if_available,required_prior_field_if_available,bridge_or_foundation_required,eligibility_confidence,official_source_url,notes
Bachelor of Arts in Counselling Psychology,bachelor of arts in counselling psychology,Abdulrahman Al- Sumait University (SUMAIT),abdulrahman al sumait sumait,"Diploma in Counselling, Psychology, Public Health, Psychiatric, Medicine, Sociology, Social Work, Law, Nursing, Philosophy, Pharmaceutical, Human Resources Management, International Relations, Local Government Administration, Community Development, Procurement and Supply Management, Records Management, Business Administration, Public Administration, Theology, Economics, Journalism, Midwifery or Education with an average of “B” or a minimum GPA of 3.0.",no,no,no,yes,unknown,,,,Economics,,,unknown,high,https://tcu.go.tz/sites/default/files/file_uploads/guide_books/2025-07/Admissions%20Guidebook%20for%20Holders%20of%20Diploma%20or%20Equivalent%20Qualifications_2025_2026.pdf,TCU ordinary diploma/equivalent route. Programme code: SUM03.
Bachelor of Arts in Counselling Psychology,bachelor of arts in counselling psychology,Abdulrahman Al- Sumait University (SUMAIT),abdulrahman al sumait sumait,"Two principal passes in the following subjects: History, Geography, Kiswahili, English Language, Literature in English, French, Arabic, Fine Arts, Economics, Commerce, Accountancy, Physics, Chemistry, Biology, Advanced Mathematics, Agriculture, Computer Science or Nutrition.",no,yes,no,no,no,,two principal passes,4.0,Accountancy; Advanced Mathematics; Agriculture; Arabic; Biology; Chemistry; Commerce; Computer Science; Economics; English; English Language; Fine Arts; French; Geography; History; Kiswahili; Literature; Mathematics; Nutrition; Physics,,,no,high,https://tcu.go.tz/sites/default/files/public_notices/2025-07/Admission%20Guidebook%20for%20Holders%20of%20Secondary%20School%20Qualifications_2025_2026.pdf,TCU secondary-school qualification route; not direct Form Four entry. Programme code: SUM03.
Bachelor of Arts with Education,bachelor of arts with education,Abdulrahman Al- Sumait University (SUMAIT),abdulrahman al sumait sumait,Diploma in Education with an average of “B” or a minimum GPA of 3.0.,no,no,no,yes,unknown,,,,,,Education,unknown,high,https://tcu.go.tz/sites/default/files/file_uploads/guide_books/2025-07/Admissions%20Guidebook%20for%20Holders%20of%20Diploma%20or%20Equivalent%20Qualifications_2025_2026.pdf,TCU ordinary diploma/equivalent route. Programme code: SUM01.
Bachelor of Arts with Education,bachelor of arts with education,Abdulrahman Al- Sumait University (SUMAIT),abdulrahman al sumait sumait,"Two principal passes in the following subjects: History, English, Geography, Kiswahili, Elimu ya Dini ya Kiislam or Arabic.",no,yes,no,no,no,,two principal passes,4.0,Arabic; English; Geography; History; Kiswahili,,,no,high,https://tcu.go.tz/sites/default/files/public_notices/2025-07/Admission%20Guidebook%20for%20Holders%20of%20Secondary%20School%20Qualifications_2025_2026.pdf,TCU secondary-school qualification route; not direct Form Four entry. Programme code: SUM01.
Bachelor of Science in Information Technology,bachelor of science in information technology,Abdulrahman Al- Sumait University (SUMAIT),abdulrahman al sumait sumait,"Diploma in Computer Science, Information Technology, Information System, Business Information Technology, Data Science, Statistics, 50 3 Computer Networks, Software Engineering, Electronics Engineering, Telecommunications Engineering with an average of “B” or a minimum GPA of 3.0.",no,no,no,yes,unknown,,,,Computer Science,,"Computer Science, Information Technology, Information System, Business Information Technology, Data Science, Statistics, 50 3 Computer Networks, Software Engineering, Electronics Engineering, Telecommunications Engineering",unknown,medium,https://tcu.go.tz/sites/default/files/file_uploads/guide_books/2025-07/Admissions%20Guidebook%20for%20Holders%20of%20Diploma%20or%20Equivalent%20Qualifications_2025_2026.pdf,TCU ordinary diploma/equivalent route. Programme code: SUM04.
Bachelor of Science in Information Technology,bachelor of science in information technology,Abdulrahman Al- Sumait University (SUMAIT),abdulrahman al sumait sumait,"Two principal passes in Physics, Advanced Mathematics, Geography, Biology, Chemistry, Economics or Accounting.",no,yes,no,no,no,,two principal passes,4.0,Accounting; Advanced Mathematics; Biology; Chemistry; Economics; Geography; Mathematics; Physics,,,no,high,https://tcu.go.tz/sites/default/files/public_notices/2025-07/Admission%20Guidebook%20for%20Holders%20of%20Secondary%20School%20Qualifications_2025_2026.pdf,TCU secondary-school qualification route; not direct Form Four entry. Programme code: SUM04.
Bachelor of Science with Education,bachelor of science with education,Abdulrahman Al- Sumait University (SUMAIT),abdulrahman al sumait sumait,Diploma in Science Education with an average of “B” or a minimum GPA of 3.0.,no,no,no,yes,unknown,,,,,,Science Education,unknown,high,https://tcu.go.tz/sites/default/files/file_uploads/guide_books/2025-07/Admissions%20Guidebook%20for%20Holders%20of%20Diploma%20or%20Equivalent%20Qualifications_2025_2026.pdf,TCU ordinary diploma/equivalent route. Programme code: SUM02.
Bachelor of Science with Education,bachelor of science with education,Abdulrahman Al- Sumait University (SUMAIT),abdulrahman al sumait sumait,"Two principal passes in the following subjects: Physics, Advanced Mathematics, Chemistry,Biology, Computer Science or Geography.",no,yes,no,no,no,,two principal passes,4.0,Advanced Mathematics; Biology; Chemistry; Computer Science; Geography; Mathematics; Physics,,,no,high,https://tcu.go.tz/sites/default/files/public_notices/2025-07/Admission%20Guidebook%20for%20Holders%20of%20Secondary%20School%20Qualifications_2025_2026.pdf,TCU secondary-school qualification route; not direct Form Four entry. Programme code: SUM02.
Bachelor Degree in Computer Science,bachelor degree in computer science,Institute of Accountancy Arusha (IAA),accountancy arusha iaa,Diploma in Computer Science or Information Technology AND 4 passes at O level with an average of “ B ’ ’ or a minimum GPA of 3.0. OR Holder of Foundation Certificate from OUT with GPA of 3.0. 50,no,no,no,yes,yes,,,,Computer Science,,Computer Science,yes,medium,https://tcu.go.tz/sites/default/files/file_uploads/guide_books/2025-07/Admissions%20Guidebook%20for%20Holders%20of%20Diploma%20or%20Equivalent%20Qualifications_2025_2026.pdf,TCU ordinary diploma/equivalent route. Programme code: IAD02.
Bachelor Degree in Computer Science,bachelor degree in computer science,Institute of Accountancy Arusha (IAA),accountancy arusha iaa,"Two Principal passes in the following subjects: Physics, Chemistry, Biology, Computer Studies, Agriculture, Geography or Mathematics.",no,yes,no,no,no,,two principal passes,4.0,Agriculture; Biology; Chemistry; Geography; Mathematics; Physics,,,no,high,https://tcu.go.tz/sites/default/files/public_notices/2025-07/Admission%20Guidebook%20for%20Holders%20of%20Secondary%20School%20Qualifications_2025_2026.pdf,TCU secondary-school qualification route; not direct Form Four entry. Programme code: IAD02.
Bachelor Degree in Economics and Project Management,bachelor degree in economics and project management,Institute of Accountancy Arusha (IAA),accountancy arusha iaa,"Diploma in Finance and Banking or Economics and Finance, Economics and Project Planning, Insurance and Risk, Taxation, Credit Management, Accountancy and Micro Finance, Accountancy with Information Technology, Business Management, Procurement and Logistics Management, Human Resources Management, Business Administration, Development Planning, Enterprise Management, Community Development, Local Government Administration, Public Administration, Accountancy or any related qualification and four passes at O- Level with an average of “B’’ or a minimum GPA of 3.0. OR Foundation Certificate of the OUT with a minimum GPA of 3.0.",no,no,no,yes,yes,,,,Accountancy; Economics,,Finance and Banking,yes,high,https://tcu.go.tz/sites/default/files/file_uploads/guide_books/2025-07/Admissions%20Guidebook%20for%20Holders%20of%20Diploma%20or%20Equivalent%20Qualifications_2025_2026.pdf,TCU ordinary diploma/equivalent route. Programme code: IA022.
Bachelor Degree in Economics and Project Management,bachelor degree in economics and project management,Institute of Accountancy Arusha (IAA),accountancy arusha iaa,"Two principal passes in the following subjects: History, Geography, Economics, Commerce, Accountancy, Physics, Chemistry, Biology, Advanced Mathematics or Agriculture.",no,yes,no,no,no,,two principal passes,4.0,Accountancy; Advanced Mathematics; Agriculture; Biology; Chemistry; Commerce; Economics; Geography; History; Mathematics; Physics,,,no,high,https://tcu.go.tz/sites/default/files/public_notices/2025-07/Admission%20Guidebook%20for%20Holders%20of%20Secondary%20School%20Qualifications_2025_2026.pdf,TCU secondary-school qualification route; not direct Form Four entry. Programme code: IA022.
Bachelor Degree in Human Resource Management,bachelor degree in human resource management,Institute of Accountancy Arusha (IAA),accountancy arusha iaa,"Diploma in Human Resources and Management, Tourism and Hospitality, Marketing, International Relations and Diplomacy, Logistics and Planning, Clearing and Forwarding, Procurement and Logistics Management, Business Management, Social Work, Sociology, Records and Information Management, Secretarial Studies, Office Management, Education, Law, Public Administration, Library and 150 3 Information Studies, Criminal investigation, Gender and Development, Local Governance, Labour Studies, Political Science, Development Studies, Information Studies, Journalism, Community Development, Social Studies or any related qualification and four passes at O level with an average of “B” or a minimum of GPA of 3.0 or Foundation Certificate of the OUT with a minimum GPA of 3.0.",no,no,no,yes,yes,,,,,,,yes,medium,https://tcu.go.tz/sites/default/files/file_uploads/guide_books/2025-07/Admissions%20Guidebook%20for%20Holders%20of%20Diploma%20or%20Equivalent%20Qualifications_2025_2026.pdf,TCU ordinary diploma/equivalent route. Programme code: IA020.
Bachelor Degree in Human Resource Management,bachelor degree in human resource management,Institute of Accountancy Arusha (IAA),accountancy arusha iaa,"Two Principal passes in the following subjects: History, Geography, Kiswahili, English Language, French, Arabic, Fine Arts, Economics, Commerce, Accountancy, Physics, Chemistry, Biology, Advanced Mathematics, Agriculture, Computer Science or Nutrition. 4.0 300 3 Points",no,yes,no,no,no,,two principal passes,,Accountancy; Advanced Mathematics; Agriculture; Arabic; Biology; Chemistry; Commerce; Computer Science; Economics; English; English Language; Fine Arts; French; Geography; History; Kiswahili; Mathematics; Nutrition; Physics,,,no,medium,https://tcu.go.tz/sites/default/files/public_notices/2025-07/Admission%20Guidebook%20for%20Holders%20of%20Secondary%20School%20Qualifications_2025_2026.pdf,TCU secondary-school qualification route; not direct Form Four entry. Programme code: IA020.
Bachelor Degree in Information Technology,bachelor degree in information technology,Institute of Accountancy Arusha (IAA),accountancy arusha iaa,Diploma in Computer Science or Information Technology AND 4 passes at O level with an average of “ B ’ ’ or a minimum GPA of 3.0. OR Holder of Foundation Certificate from OUT with GPA of 3.0. 50,no,no,no,yes,yes,,,,Computer Science,,Computer Science,yes,medium,https://tcu.go.tz/sites/default/files/file_uploads/guide_books/2025-07/Admissions%20Guidebook%20for%20Holders%20of%20Diploma%20or%20Equivalent%20Qualifications_2025_2026.pdf,TCU ordinary diploma/equivalent route. Programme code: IAD03.
Bachelor Degree in Information Technology,bachelor degree in information technology,Institute of Accountancy Arusha (IAA),accountancy arusha iaa,Two Principal passes in either Science or Arts Subjects; the applicant must have at least a subsidiary or pass in Mathematics at O- Level if one of the principal passes is not in Advanced Mathematics. 4.0 50 3 Points,no,yes,no,no,no,,two principal passes,,Advanced Mathematics; Mathematics,,,no,medium,https://tcu.go.tz/sites/default/files/public_notices/2025-07/Admission%20Guidebook%20for%20Holders%20of%20Secondary%20School%20Qualifications_2025_2026.pdf,TCU secondary-school qualification route; not direct Form Four entry. Programme code: IAD03.
Bachelor Degree in Marketing and Public Relations,bachelor degree in marketing and public relations,Institute of Accountancy Arusha (IAA),accountancy arusha iaa,"Diploma in Finance and Banking or Economics and Finance, Economics and Project Planning, Insurance and Risk, Taxation, Credit Management, Accountancy and Micro Finance, Accountancy with Information Technology, Business Management, Procurement and Logistics Management, Human Resources Management, Business Administration, Development Planning, Enterprise Management, Community Development, Local Government Administration, Public Administration, Accountancy or any related qualification and four passes at O-Level with an average of “B’’ or a minimum GPA of 3.0. OR Foundation Certificate of the OUT with a minimum GPA of 3.0.",no,no,no,yes,yes,,,,Accountancy; Economics,,Finance and Banking,yes,high,https://tcu.go.tz/sites/default/files/file_uploads/guide_books/2025-07/Admissions%20Guidebook%20for%20Holders%20of%20Diploma%20or%20Equivalent%20Qualifications_2025_2026.pdf,TCU ordinary diploma/equivalent route. Programme code: IA021.
Bachelor Degree in Marketing and Public Relations,bachelor degree in marketing and public relations,Institute of Accountancy Arusha (IAA),accountancy arusha iaa,"Two Principal passes in the following subjects: History, Geography, Kiswahili, English Language, French, Arabic, Fine Arts, Economics, Commerce, Accountancy, Physics, Chemistry, Biology, Advanced Mathematics, Agriculture, Computer Science or Nutrition.",no,yes,no,no,no,,two principal passes,4.0,Accountancy; Advanced Mathematics; Agriculture; Arabic; Biology; Chemistry; Commerce; Computer Science; Economics; English; English Language; Fine Arts; French; Geography; History; Kiswahili; Mathematics; Nutrition; Physics,,,no,high,https://tcu.go.tz/sites/default/files/public_notices/2025-07/Admission%20Guidebook%20for%20Holders%20of%20Secondary%20School%20Qualifications_2025_2026.pdf,TCU secondary-school qualification route; not direct Form Four entry. Programme code: IA021.
Bachelor Information Technology,bachelor information technology,Institute of Accountancy Arusha (IAA),accountancy arusha iaa,Diploma in Computer Science or Information Technology and four passes at O-Level with an average of “B’’ or a minimum GPA of 3.0. OR Foundation Certificate of the OUT with a minimum GPA of 3.0. OR Foundation Programme of the OUT with a minimum GPA of 3.0.,no,no,no,yes,yes,,,,Computer Science,,Computer Science,yes,high,https://tcu.go.tz/sites/default/files/file_uploads/guide_books/2025-07/Admissions%20Guidebook%20for%20Holders%20of%20Diploma%20or%20Equivalent%20Qualifications_2025_2026.pdf,TCU ordinary diploma/equivalent route. Programme code: IA004.
Bachelor Information Technology,bachelor information technology,Institute of Accountancy Arusha (IAA),accountancy arusha iaa,"Two principal passes in the following subjects: History, Geography, Kiswahili, English Language, French, Arabic, 4.0 100 3 Points Technology Fine Arts, Economics, Commerce, Accountancy, Physics, Chemistry, Biology, Advanced Mathematics, Agriculture, Computer Science or Nutrition. If one of the principal passes is not in Advanced Mathematics an applicant must have at least a subsidiary pass or a minimum of “D” grade in Mathematics a O-Level.",no,yes,no,no,no,,two principal passes,,Accountancy; Advanced Mathematics; Agriculture; Arabic; Biology; Chemistry; Commerce; Computer Science; Economics; English; English Language; Fine Arts; French; Geography; History; Kiswahili; Mathematics; Nutrition; Physics,minimum of “D” grade in Mathematics a O-Level; “D” grade in Mathematics a O-Level,,no,medium,https://tcu.go.tz/sites/default/files/public_notices/2025-07/Admission%20Guidebook%20for%20Holders%20of%20Secondary%20School%20Qualifications_2025_2026.pdf,TCU secondary-school qualification route; not direct Form Four entry. Programme code: IA004.
Bachelor of Accountancy,bachelor of accountancy,Institute of Accountancy Arusha (IAA),accountancy arusha iaa,"Diploma in Finance and Banking, Economics and Finance, Insurance and Risk Management, Cooperative Management and Accounting, Economics, Taxation, Credit Management, Procurement and Logistics Management or Accountancy, Microfinance Management or any related qualification and four passes at O-Level with an average of “B’’ or a minimum GPA of 3.0. OR Foundation Certificate of the OUT with a minimum GPA of 3.0.",no,no,no,yes,yes,,,,Accountancy; Accounting; Economics,,"Finance and Banking, Economics and Finance, Insurance and Risk Management, Cooperative Management and Accounting, Economics, Taxation, Credit Management, Procurement and Logistics Management",yes,high,https://tcu.go.tz/sites/default/files/file_uploads/guide_books/2025-07/Admissions%20Guidebook%20for%20Holders%20of%20Diploma%20or%20Equivalent%20Qualifications_2025_2026.pdf,TCU ordinary diploma/equivalent route. Programme code: IA007.
Bachelor of Accountancy,bachelor of accountancy,Institute of Accountancy Arusha (IAA),accountancy arusha iaa,"Two principal passes in the following subjects: Economics, Accountancy, Commerce, Physics, Chemistry, Biology, Geography or Advanced Mathematics. If one of 4.0 300 3 Points the principal passes is not in Advanced Mathematics an applicant must have at least a subsidiary pass or a minimum of “D” grade in Mathematics at O-Level.",no,yes,no,no,no,,two principal passes,,Accountancy; Advanced Mathematics; Biology; Chemistry; Commerce; Economics; Geography; Mathematics; Physics,minimum of “D” grade in Mathematics at O-Level; “D” grade in Mathematics at O-Level,,no,medium,https://tcu.go.tz/sites/default/files/public_notices/2025-07/Admission%20Guidebook%20for%20Holders%20of%20Secondary%20School%20Qualifications_2025_2026.pdf,TCU secondary-school qualification route; not direct Form Four entry. Programme code: IA007.
Bachelor of Accountancy,bachelor of accountancy,Institute of Accountancy Arusha (IAA),accountancy arusha iaa,"Two principal passes in the following subjects: Economics, Accountancy, Commerce, Physics, Chemistry, Biology, Geography or Advanced Mathematics. If one of the principal passes is not in Advanced Mathematics an applicant must have at least a subsidiary pass or a minimum of “D” grade in Mathematics at O-Level.",no,yes,no,no,no,,two principal passes,4.0,Accountancy; Advanced Mathematics; Biology; Chemistry; Commerce; Economics; Geography; Mathematics; Physics,minimum of “D” grade in Mathematics at O-Level; “D” grade in Mathematics at O-Level,,no,high,https://tcu.go.tz/sites/default/files/public_notices/2025-07/Admission%20Guidebook%20for%20Holders%20of%20Secondary%20School%20Qualifications_2025_2026.pdf,TCU secondary-school qualification route; not direct Form Four entry. Programme code: IAD01.
Bachelor of Accountancy and Finance,bachelor of accountancy and finance,Institute of Accountancy Arusha (IAA),accountancy arusha iaa,"Diploma in Finance and Banking, Economics and Finance, Insurance and Risk Management, Cooperative Management and Accounting, Economics, Taxation, Credit Management, Procurement and Logistics Management, Non-Priority Accountancy, Microfinance Management, or any related qualification and 4 passes at O-level with an average of “B” or a minimum of GPA of 3.0 or Foundation Certificate of the OUT with a minimum GPA of 3.0.",no,no,no,yes,yes,,,,Accountancy; Accounting; Economics,,"Finance and Banking, Economics and Finance, Insurance and Risk Management, Cooperative Management and Accounting, Economics, Taxation, Credit Management, Procurement and Logistics Management, Non-Priority Accountancy, Microfinance Management,",yes,high,https://tcu.go.tz/sites/default/files/file_uploads/guide_books/2025-07/Admissions%20Guidebook%20for%20Holders%20of%20Diploma%20or%20Equivalent%20Qualifications_2025_2026.pdf,TCU ordinary diploma/equivalent route. Programme code: IA024.
Bachelor of Accountancy and Finance,bachelor of accountancy and finance,Institute of Accountancy Arusha (IAA),accountancy arusha iaa,"Two principal passes in Economics, Accountancy, Commerce, Physics, Chemistry, Biology, Geography or 4.0 50 3 Points Advanced Mathematics.",no,yes,no,no,no,,two principal passes,,Accountancy; Advanced Mathematics; Biology; Chemistry; Commerce; Economics; Geography; Mathematics; Physics,,,no,medium,https://tcu.go.tz/sites/default/files/public_notices/2025-07/Admission%20Guidebook%20for%20Holders%20of%20Secondary%20School%20Qualifications_2025_2026.pdf,TCU secondary-school qualification route; not direct Form Four entry. Programme code: IA024.
Bachelor of Accountancy and Finance.,bachelor of accountancy and finance,Institute of Accountancy Arusha (IAA),accountancy arusha iaa,"Two principal passes in Economics, Accountancy, Commerce, Physics. Chemistry, Biology, Geography or Mathematics.",no,yes,no,no,no,,two principal passes,4.0,Accountancy; Biology; Chemistry; Commerce; Economics; Geography; Mathematics; Physics,,,no,high,https://tcu.go.tz/sites/default/files/public_notices/2025-07/Admission%20Guidebook%20for%20Holders%20of%20Secondary%20School%20Qualifications_2025_2026.pdf,TCU secondary-school qualification route; not direct Form Four entry. Programme code: IAD05.
Bachelor of Accountancy and Finance.,bachelor of accountancy and finance,Institute of Accountancy Arusha (IAA),accountancy arusha iaa,"Two principal passes in Economics, Accountancy, Commerce, Physics. Chemistry, Biology, Geography or Mathematics. The two principal passes MUST make an aggregate of 4.0 points as a minimum or Foundation Programme of the OUT with a minimum GPA of 3.0.",no,no,no,unknown,unknown,,two principal passes,,Accountancy; Biology; Chemistry; Commerce; Economics; Geography; Mathematics; Physics,,,yes,high,https://tcu.go.tz/sites/default/files/file_uploads/guide_books/2025-07/Admissions%20Guidebook%20for%20Holders%20of%20Diploma%20or%20Equivalent%20Qualifications_2025_2026.pdf,TCU ordinary diploma/equivalent route. Programme code: IAD05.
Bachelor of Accounting with Information Technology,bachelor of accounting with information technology,Institute of Accountancy Arusha (IAA),accountancy arusha iaa,"Diploma in Accounting, Business Administration, Procurement and Supplies Management, Information Technology, Computer Science, Economics or Banking and Finance or any related qualification and 4 passes at O level with an average of “B” or a minimum of GPA of 3.0 or Foundation Certificate of the OUT with a minimum GPA of 3.0.",no,no,no,yes,yes,,,,Accounting; Computer Science; Economics,,"Accounting, Business Administration, Procurement and Supplies Management, Information Technology, Computer Science, Economics",yes,high,https://tcu.go.tz/sites/default/files/file_uploads/guide_books/2025-07/Admissions%20Guidebook%20for%20Holders%20of%20Diploma%20or%20Equivalent%20Qualifications_2025_2026.pdf,TCU ordinary diploma/equivalent route. Programme code: IA010.
Bachelor of Accounting with Information Technology,bachelor of accounting with information technology,Institute of Accountancy Arusha (IAA),accountancy arusha iaa,"Two principal passes in the following subjects: History, Geography, Kiswahili, English Language, French, Arabic, Fine Arts, Economics, Commerce, Accountancy, Physics, Chemistry, Biology, Advanced Mathematics, Agriculture, Computer Science or Nutrition. If one of the principal passes is not in Advanced Mathematics an applicant must have at least a subsidiary pass or a minimum of “D” 4.0 219 3 Points grade in Mathematics at O-Level.",no,yes,no,no,no,,two principal passes,,Accountancy; Advanced Mathematics; Agriculture; Arabic; Biology; Chemistry; Commerce; Computer Science; Economics; English; English Language; Fine Arts; French; Geography; History; Kiswahili; Mathematics; Nutrition; Physics,,,no,medium,https://tcu.go.tz/sites/default/files/public_notices/2025-07/Admission%20Guidebook%20for%20Holders%20of%20Secondary%20School%20Qualifications_2025_2026.pdf,TCU secondary-school qualification route; not direct Form Four entry. Programme code: IA010.
Bachelor of Auditing and Assurance,bachelor of auditing and assurance,Institute of Accountancy Arusha (IAA),accountancy arusha iaa,"Diploma in Finance and Banking, Economics and Finance, Insurance and Risk Management, Cooperative Management and Accounting, Economics, Taxation, Credit Management, Procurement and Logistics Management or Accountancy, Microfinance Management, or any related qualification and 4 passes at O level with an average of “B” or a minimum of GPA of 3.0 or Foundation Certificate of the OUT with a 150 3 minimum GPA of 3.0.",no,no,no,yes,yes,,,,Accountancy; Accounting; Economics,,"Finance and Banking, Economics and Finance, Insurance and Risk Management, Cooperative Management and Accounting, Economics, Taxation, Credit Management, Procurement and Logistics Management",yes,medium,https://tcu.go.tz/sites/default/files/file_uploads/guide_books/2025-07/Admissions%20Guidebook%20for%20Holders%20of%20Diploma%20or%20Equivalent%20Qualifications_2025_2026.pdf,TCU ordinary diploma/equivalent route. Programme code: IA025.
